"generated_at","relative_path","size_bytes","sha256","versioning_policy"
"2026-06-19T13:25:05-03:00","reports/presentations/apresentacao_BSB2026.pdf","240975","89BBBCECC946007CA125361D4037B0AF3296EDC7F73686AF774A53ABA112B71B","selected_final_or_documentation"
"2026-06-19T13:25:05-03:00","reports/presentations/apresentacao_BSB2026.Rmd","15399","AF29E8EB44A962BC98CF9498C9E11A7B0A786B846C6316607CEE8F08E5AF1661","selected_final_or_documentation"
"2026-06-19T13:25:05-03:00","REPRODUCIBILITY_CHECKLIST.md","1879","8D93E99FA663E1EE791230FEAB2CE45CDC8E5B446BEAC89959CF188B60274A60","selected_final_or_documentation"
"2026-06-19T13:25:05-03:00","results/bayesian/posterior_probabilities/modelagem_bayesiana_hierarquica_dlnm.csv","49955","08699639DB56A9EA518DC805BC35763FA34635A6EACD9B6234D05A664FA848DB","selected_final_or_documentation"
"2026-06-19T13:25:05-03:00","results/dlnm/prioritized_models/modelos_prioritarios_dlnm.csv","4068","70C797C514ED5578677FCC3A6300B251A43D5009E47258BD1215279D8C25364C","selected_final_or_documentation"
"2026-06-19T13:25:05-03:00","results/dlnm/prioritized_models/priorizacao_achados_principais_com_cautela.csv","9246","3C663ED36C47C18B0526422319AC3B04495AAE81B8CEB4550D6DBF45999AF3B5","selected_final_or_documentation"
"2026-06-19T13:25:05-03:00","results/dlnm/prioritized_models/priorizacao_achados_principais_robustos.csv","3017","6737BDCD763DF9143E94FE6333D434400FFF61A678DCFCD3C58A7E093C2F3387","selected_final_or_documentation"
"2026-06-19T13:25:05-03:00","results/dlnm/prioritized_models/tabela_auc_rr_dlnm_macrorregiao.csv","70591","72B1312753378930D6FF5643354C5C961DA01278BA6543611BBF86BBDCC784F2","selected_final_or_documentation"
"2026-06-19T13:25:05-03:00","results/dlnm/prioritized_models/tabela_rr_dlnm_macrorregiao.csv","264435","668E3CD26500412E413C2AF449D17E1B16A54E85CC78CCFB23F58605B55E9A44","selected_final_or_documentation"
"2026-06-19T13:25:05-03:00","results/integration/final_outputs/ranking_modelos_rr_ic95_auc_residuos_bayes.csv","49955","08699639DB56A9EA518DC805BC35763FA34635A6EACD9B6234D05A664FA848DB","selected_final_or_documentation"
"2026-06-19T13:25:05-03:00","results/integration/final_outputs/sazonalidade_mensal_internacoes_i60_i69.csv","522","CA4E972A1674E9092D83A907796ADF776A917BECC558EB06E06851F06DF5F5AB","selected_final_or_documentation"
"2026-06-19T13:25:05-03:00","run_pipeline.R","310","326914AA7D89F2E5E4D5E41DB8912FEDA84413027E0BCDBA6E4F4FA9FF3CD1E3","selected_final_or_documentation"
"2026-06-19T13:25:05-03:00","scripts/01_download_sih_sim.R","467","E97ED538B97938259D6377B2F514A4AB0E416F345D91D22E502DB0DBE01251C5","selected_final_or_documentation"
"2026-06-19T13:25:05-03:00","scripts/02_download_climate.R","441","C1D4B4C8A000518CC30CABDBDC42A3B4BE5A4CB8FFF00BD3D3BDBB8238206FE0","selected_final_or_documentation"
"2026-06-19T13:25:05-03:00","scripts/03_build_population_offset.R","477","931A2802E39829D62B330AA36470EC0E1ED9B16E94C745E58EFBDC9A6FE356FF","selected_final_or_documentation"
"2026-06-19T13:25:05-03:00","scripts/04_prepare_timeseries.R","592","DAD2F80065E007D21DA2760EAF029B2EEE9C8C6276410D3E88A98A16BC9305F6","selected_final_or_documentation"
"2026-06-19T13:25:05-03:00","scripts/05_run_dlnm.R","798","ADA88CCD19C763FEC849DFA38C7F78027773179F298A9709300C75AB9701BD98","selected_final_or_documentation"
"2026-06-19T13:25:05-03:00","scripts/06_bayesian_stabilization.R","899","6A920B2BF63054F9F79B1960FB0C0A462BEFC34C295C3754608FABE200865957","selected_final_or_documentation"
"2026-06-19T13:25:05-03:00","scripts/10_generate_figures.R","1230","106F04F44FB8812172C4672953585496B1C730F7B7D5979BBAE808C12229399E","selected_final_or_documentation"
"2026-06-19T13:25:05-03:00","scripts/11_generate_tables.R","1254","5FCB1CFA69AC0D6009F483F93B9E57EF4BAC4E95C83D7111ED5F5ABADD3AA1A6","selected_final_or_documentation"
"2026-06-19T13:25:05-03:00","scripts/12_generate_3d_surfaces.R","3322","78696B27184385B82FC17AC5E4D6508FFAD2F1CC1AAF8DAB88831E3DA44EEE7B","selected_final_or_documentation"
"2026-06-19T13:25:05-03:00","scripts/check_repository_size.R","983","0396D4A703D72E99ACFC9898540C7300D28E3C9B47B7D646E14B94682D5D134F","selected_final_or_documentation"
"2026-06-19T13:25:05-03:00","scripts/pipeline_integrado_full.R","229682","20A2D745DC98A4095AC98BC2278336B5B7B5F8789F7F03818E477B93021E4A80","selected_final_or_documentation"
"2026-06-19T13:25:05-03:00","SESSION_INFO.txt","636","6BF68B2D124F89A053C737DE69443CDA4BBD6A53CB463A9EDD9ED458C17F9AC4","selected_final_or_documentation"
"2026-06-19T13:25:05-03:00","STRUCTURE_TREE.txt","2616","DDF9D75348C3595DECCFFAA7F7A9EBAFFF1C0DC775E478391237B0E4399F388C","selected_final_or_documentation"
