ibge7,mun_nome,ibge6,mun_nome_norm
3300100,Angra dos Reis,330010,ANGRA DOS REIS
3300159,Aperibé,330015,APERIBE
3300209,Araruama,330020,ARARUAMA
3300225,Areal,330022,AREAL
3300233,Armação dos Búzios,330023,ARMACAO DOS BUZIOS
3300258,Arraial do Cabo,330025,ARRAIAL DO CABO
3300308,Barra do Piraí,330030,BARRA DO PIRAI
3300407,Barra Mansa,330040,BARRA MANSA
3300456,Belford Roxo,330045,BELFORD ROXO
3300506,Bom Jardim,330050,BOM JARDIM
3300605,Bom Jesus do Itabapoana,330060,BOM JESUS DO ITABAPOANA
3300704,Cabo Frio,330070,CABO FRIO
3300803,Cachoeiras de Macacu,330080,CACHOEIRAS DE MACACU
3300902,Cambuci,330090,CAMBUCI
3300936,Carapebus,330093,CARAPEBUS
3300951,Comendador Levy Gasparian,330095,COMENDADOR LEVY GASPARIAN
3301009,Campos dos Goytacazes,330100,CAMPOS DOS GOYTACAZES
3301108,Cantagalo,330110,CANTAGALO
3301157,Cardoso Moreira,330115,CARDOSO MOREIRA
3301207,Carmo,330120,CARMO
3301306,Casimiro de Abreu,330130,CASIMIRO DE ABREU
3301405,Conceição de Macabu,330140,CONCEICAO DE MACABU
3301504,Cordeiro,330150,CORDEIRO
3301603,Duas Barras,330160,DUAS BARRAS
3301702,Duque de Caxias,330170,DUQUE DE CAXIAS
3301801,Engenheiro Paulo de Frontin,330180,ENGENHEIRO PAULO DE FRONTIN
3301850,Guapimirim,330185,GUAPIMIRIM
3301876,Iguaba Grande,330187,IGUABA GRANDE
3301900,Itaboraí,330190,ITABORAI
3302007,Itaguaí,330200,ITAGUAI
3302056,Italva,330205,ITALVA
3302106,Itaocara,330210,ITAOCARA
3302205,Itaperuna,330220,ITAPERUNA
3302254,Itatiaia,330225,ITATIAIA
3302270,Japeri,330227,JAPERI
3302304,Laje do Muriaé,330230,LAJE DO MURIAE
3302403,Macaé,330240,MACAE
3302452,Macuco,330245,MACUCO
3302502,Magé,330250,MAGE
3302601,Mangaratiba,330260,MANGARATIBA
3302700,Maricá,330270,MARICA
3302809,Mendes,330280,MENDES
3302858,Mesquita,330285,MESQUITA
3302908,Miguel Pereira,330290,MIGUEL PEREIRA
3303005,Miracema,330300,MIRACEMA
3303104,Natividade,330310,NATIVIDADE
3303203,Nilópolis,330320,NILOPOLIS
3303302,Niterói,330330,NITEROI
3303401,Nova Friburgo,330340,NOVA FRIBURGO
3303500,Nova Iguaçu,330350,NOVA IGUACU
3303609,Paracambi,330360,PARACAMBI
3303708,Paraíba do Sul,330370,PARAIBA DO SUL
3303807,Paraty,330380,PARATY
3303856,Paty do Alferes,330385,PATY DO ALFERES
3303906,Petrópolis,330390,PETROPOLIS
3303955,Pinheiral,330395,PINHEIRAL
3304003,Piraí,330400,PIRAI
3304102,Porciúncula,330410,PORCIUNCULA
3304110,Porto Real,330411,PORTO REAL
3304128,Quatis,330412,QUATIS
3304144,Queimados,330414,QUEIMADOS
3304151,Quissamã,330415,QUISSAMA
3304201,Resende,330420,RESENDE
3304300,Rio Bonito,330430,RIO BONITO
3304409,Rio Claro,330440,RIO CLARO
3304508,Rio das Flores,330450,RIO DAS FLORES
3304524,Rio das Ostras,330452,RIO DAS OSTRAS
3304557,Rio de Janeiro,330455,RIO DE JANEIRO
3304607,Santa Maria Madalena,330460,SANTA MARIA MADALENA
3304706,Santo Antônio de Pádua,330470,SANTO ANTONIO DE PADUA
3304755,São Francisco de Itabapoana,330475,SAO FRANCISCO DE ITABAPOANA
3304805,São Fidélis,330480,SAO FIDELIS
3304904,São Gonçalo,330490,SAO GONCALO
3305000,São João da Barra,330500,SAO JOAO DA BARRA
3305109,São João de Meriti,330510,SAO JOAO DE MERITI
3305133,São José de Ubá,330513,SAO JOSE DE UBA
3305158,São José do Vale do Rio Preto,330515,SAO JOSE DO VALE DO RIO PRETO
3305208,São Pedro da Aldeia,330520,SAO PEDRO DA ALDEIA
3305307,São Sebastião do Alto,330530,SAO SEBASTIAO DO ALTO
3305406,Sapucaia,330540,SAPUCAIA
3305505,Saquarema,330550,SAQUAREMA
3305554,Seropédica,330555,SEROPEDICA
3305604,Silva Jardim,330560,SILVA JARDIM
3305703,Sumidouro,330570,SUMIDOURO
3305752,Tanguá,330575,TANGUA
3305802,Teresópolis,330580,TERESOPOLIS
3305901,Trajano de Moraes,330590,TRAJANO DE MORAES
3306008,Três Rios,330600,TRES RIOS
3306107,Valença,330610,VALENCA
3306156,Varre-Sai,330615,VARRE SAI
3306206,Vassouras,330620,VASSOURAS
3306305,Volta Redonda,330630,VOLTA REDONDA
