ibge7,ibge6,mun_nome,ano,populacao,fonte_populacao,observacao_populacao
3300308,330030,Barra do Piraí,2022,92883,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3300308,330030,Barra do Piraí,2024,98501,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300308,330030,Barra do Piraí,2025,98506,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300407,330040,Barra Mansa,2017,179451,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300407,330040,Barra Mansa,2018,183976,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300407,330040,Barra Mansa,2019,184412,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300407,330040,Barra Mansa,2020,184833,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300407,330040,Barra Mansa,2021,185237,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300407,330040,Barra Mansa,2022,169894,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3300407,330040,Barra Mansa,2024,181688,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300407,330040,Barra Mansa,2025,181679,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300456,330045,Belford Roxo,2017,495783,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300456,330045,Belford Roxo,2018,508614,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300456,330045,Belford Roxo,2019,510906,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300456,330045,Belford Roxo,2020,513118,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300456,330045,Belford Roxo,2021,515239,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300456,330045,Belford Roxo,2022,483087,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3300456,330045,Belford Roxo,2024,518263,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300456,330045,Belford Roxo,2025,518384,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300506,330050,Bom Jardim,2017,26566,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300506,330050,Bom Jardim,2018,27269,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300506,330050,Bom Jardim,2019,27446,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300506,330050,Bom Jardim,2020,27616,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300506,330050,Bom Jardim,2021,27779,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300506,330050,Bom Jardim,2022,28102,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3300506,330050,Bom Jardim,2024,29736,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300506,330050,Bom Jardim,2025,29758,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300605,330060,Bom Jesus do Itabapoana,2017,36068,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300605,330060,Bom Jesus do Itabapoana,2018,36985,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300605,330060,Bom Jesus do Itabapoana,2019,37096,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300605,330060,Bom Jesus do Itabapoana,2020,37203,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300605,330060,Bom Jesus do Itabapoana,2021,37306,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300605,330060,Bom Jesus do Itabapoana,2022,35173,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3300605,330060,Bom Jesus do Itabapoana,2024,37172,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300605,330060,Bom Jesus do Itabapoana,2025,37176,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300704,330070,Cabo Frio,2017,216030,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300704,330070,Cabo Frio,2018,222528,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300704,330070,Cabo Frio,2019,226525,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300704,330070,Cabo Frio,2020,230378,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300704,330070,Cabo Frio,2021,234077,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300704,330070,Cabo Frio,2022,222161,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3300704,330070,Cabo Frio,2024,238166,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300704,330070,Cabo Frio,2025,238438,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300803,330080,Cachoeiras de Macacu,2017,57048,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300803,330080,Cachoeiras de Macacu,2018,58560,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300803,330080,Cachoeiras de Macacu,2019,58937,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300803,330080,Cachoeiras de Macacu,2020,59303,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300803,330080,Cachoeiras de Macacu,2021,59652,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300803,330080,Cachoeiras de Macacu,2022,56943,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3300803,330080,Cachoeiras de Macacu,2024,59837,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300803,330080,Cachoeiras de Macacu,2025,59861,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300902,330090,Cambuci,2017,15124,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
