modelo_id,macro_regiao,desfecho,exposicao,p_associacao,metodo_p,p_curva_auc,metodo_p_curva_auc,alerta_convergencia,avisos_modelo,cen,cen_mmt,cen_percentil_mmt,auc_rr_cumulativo,auc_excesso_rr_cumulativo,auc_protecao_rr_cumulativo,rr_cumulativo_max,exposicao_rr_max,p_associacao_fdr,p_curva_fdr,classe_fdr
baia_da_ilha_grande_obitos_i60_i62_temp_med,Baia da Ilha Grande,obitos_i60_i62,temp_med,0.44226411567526164,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.435,0.32434288329695155,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,TRUE,glm.fit: algoritmo não convergiu,16.731,16.731,1,22.976933983458515,10.221038150125189,0,2.1812665955829713,26.096088080168773,0.667549839663883,0.3584842394334728,cautela_convergencia
baia_da_ilha_grande_obitos_i60_i62_ur_med,Baia da Ilha Grande,obitos_i60_i62,ur_med,0.7226816117043011,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.492,0.21112560556237014,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,TRUE,glm.fit: algoritmo não convergiu,62.48496323529412,62.48496323529412,1,61.35349112712176,29.826579362415885,0,4.039977222354718,94.01187499999999,0.8486508235574685,0.2486151990734452,cautela_convergencia
baia_da_ilha_grande_internacoes_i63_temp_med,Baia da Ilha Grande,internacoes_i63,temp_med,0.4381915352317127,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.1656,0.015428468889044509,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,TRUE,glm.fit: algoritmo não convergiu,28.03369251054852,28.03369251054852,95.7,27.075730686635,14.319834853301675,0,4.208910870909348,22.705280327004218,0.667549839663883,0.04136142723445975,cautela_convergencia
baia_da_ilha_grande_internacoes_i63_ur_med,Baia da Ilha Grande,internacoes_i63,ur_med,0.5267653953645347,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.3523,0.1604810389509229,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,TRUE,glm.fit: algoritmo não convergiu,79.24610619880863,79.24610619880863,35.4,46.97799993104986,15.45108816634399,0,2.7186301658961476,94.01187499999999,0.7292953757762898,0.20845990626614727,cautela_convergencia
baia_da_ilha_grande_obitos_i63_temp_med,Baia da Ilha Grande,obitos_i63,temp_med,0,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0,0,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,TRUE,glm.fit: algoritmo não convergiu,23.351148470464132,23.351148470464132,55.6,380509284841409e274,380509284841409e274,0,47131423979132125e273,16.731,0,0,cautela_convergencia
baia_da_ilha_grande_obitos_i63_ur_med,Baia da Ilha Grande,obitos_i63,ur_med,0.99999999967829,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.9999,0.9889230551905465,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,TRUE,glm.fit: algoritmo não convergiu,80.44333069620252,80.44333069620252,43.7,3173353201039834e290,3173353201039834e290,0,Inf,62.48496323529412,1,0.9968344396320709,cautela_convergencia
baixada_litoranea_internacoes_i60_i69_temp_med,Baixada Litoranea,internacoes_i60_i69,temp_med,0.4359036064858249,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.2071,0.01929708610661202,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,25.31553831595929,25.31553831595929,77.3,11.465124466517501,1.3154700547528009,0,1.4078295653457151,17.735416666666666,0.667549839663883,0.04797006859050869,p_nominal
baixada_litoranea_internacoes_i60_i69_ur_med,Baixada Litoranea,internacoes_i60_i69,ur_med,0.6532424182385399,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.5308,0.03463610095503353,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,84.11621835443037,84.11621835443037,73.3,61.37935636329875,9.59998136329876,0,1.278749941700893,53.966202531645564,0.8398831091638371,0.07038949548926168,p_nominal
baixada_litoranea_obitos_i60_i69_temp_med,Baixada Litoranea,obitos_i60_i69,temp_med,0.46332566087443405,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.3025,0.0072638280533566324,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,23.516865382228836,23.516865382228836,54.8,11.91870843642127,1.7690540246565685,0,1.5253678017504075,17.735416666666666,0.667549839663883,0.03483166026595091,p_nominal
baixada_litoranea_obitos_i60_i69_ur_med,Baixada Litoranea,obitos_i60_i69,ur_med,0.19749754033782485,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.1167,0.013006493321927364,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,84.11621835443037,84.11621835443037,73.3,68.96489195657799,17.185516956578006,0,1.6900508724623626,92.63687499999999,0.4605452202772561,0.04051256907702289,p_nominal
baixada_litoranea_internacoes_i60_i64_temp_med,Baixada Litoranea,internacoes_i60_i64,temp_med,0.47250435118358197,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.2577,0.021491756358638602,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,25.187061677835686,25.187061677835686,75.5,11.489667888072095,1.3400134763073945,0,1.4100486883626586,17.735416666666666,0.6689387443722621,0.052076178869008914,p_nominal
baixada_litoranea_internacoes_i60_i64_ur_med,Baixada Litoranea,internacoes_i60_i64,ur_med,0.6522832634829115,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.5736,0.028610013424834595,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,84.11621835443037,84.11621835443037,73.3,62.099181563502505,10.319806563502517,0,1.350328310579572,92.63687499999999,0.8398831091638371,0.063243187570687,p_nominal
