modelo_id,macro_regiao,desfecho,exposicao,rr_cumulativo_max,exposicao_rr_max,p_curva_fdr,alerta_convergencia,status_sem_pandemia,rr_cumulativo_max_sem_pandemia,exposicao_rr_max_sem_pandemia,p_curva_auc_sem_pandemia,alerta_convergencia_sem_pandemia,fdr_principal_fmt,p_sem_pandemia_fmt,rr_principal_fmt,rr_sem_pandemia_fmt,interpretacao
baia_da_ilha_grande_internacoes_i60_i69_temp_med,Baia da Ilha Grande,internacoes_i60_i69,temp_med,1.5890143511965094,16.731,0.04292872787518827,FALSE,ok,1.7409332940680662,17.732069092827004,0.00712042217450961,FALSE,0.043,0.007,"1,59","1,74",Preservado sem 2020-2022
baixada_litoranea_internacoes_i60_i69_ur_med,Baixada Litoranea,internacoes_i60_i69,ur_med,1.3683040794195132,59.61916666666667,0.04292872787518827,FALSE,ok,1.3818718763861118,59.29749999999999,0.024882270137027776,FALSE,0.043,0.025,"1,37","1,38",Preservado sem 2020-2022
centro_sul_obitos_i60_i69_temp_med,Centro-Sul,obitos_i60_i69,temp_med,1.864373930731188,7.917875,0.04292872787518827,FALSE,ok,1.7296837339636428,17.68870305907173,0.029156609968564774,FALSE,0.043,0.029,"1,86","1,73",Preservado sem 2020-2022
medio_paraiba_internacoes_i60_i69_temp_med,Medio Paraiba,internacoes_i60_i69,temp_med,1.358852831359736,18.1086289556962,0.04292872787518827,FALSE,ok,1.7131584496641652,18.73188502874091,3.9454696404682546e-4,FALSE,0.043,<0.001,"1,36","1,71",Preservado sem 2020-2022
medio_paraiba_internacoes_i60_i69_ur_med,Medio Paraiba,internacoes_i60_i69,ur_med,1.6471735242567989,91.13470833333332,0.01270614787349262,FALSE,ok,1.7939625377415667,82.64626160337552,6.339785102575256e-4,FALSE,0.013,<0.001,"1,65","1,79",Preservado sem 2020-2022
medio_paraiba_obitos_i60_i69_temp_med,Medio Paraiba,obitos_i60_i69,temp_med,1.392623042250552,14.664125,0.02736697447698891,FALSE,ok,1.6059039580315146,14.822319444444444,0.00708865534888294,FALSE,0.027,0.007,"1,39","1,61",Preservado sem 2020-2022
medio_paraiba_obitos_i60_i69_ur_med,Medio Paraiba,obitos_i60_i69,ur_med,1.570803821407411,53.714305555555555,0.01590324528072061,FALSE,ok,1.5751181622351442,53.216625,0.00646160210403255,FALSE,0.016,0.006,"1,57","1,58",Preservado sem 2020-2022
metropolitana_i_obitos_i60_i69_temp_med,Metropolitana I,obitos_i60_i69,temp_med,1.2927537389698038,29.540993538647346,3.0159691230728973e-6,FALSE,ok,1.2596831102526445,29.653245833333333,2.750025622465987e-5,FALSE,<0.001,<0.001,"1,29","1,26",Preservado sem 2020-2022
metropolitana_ii_internacoes_i60_i69_ur_med,Metropolitana II,internacoes_i60_i69,ur_med,1.4984571796457735,58.49125,0.03035484853363221,FALSE,ok,1.650704838164208,58.02546195652174,0.003888311803130002,FALSE,0.030,0.004,"1,50","1,65",Preservado sem 2020-2022
metropolitana_ii_obitos_i60_i69_ur_med,Metropolitana II,obitos_i60_i69,ur_med,1.3753004796421524,80.7351582278481,0.04292872787518827,FALSE,ok,1.3793911025997465,79.60232021647404,0.024000078615395472,FALSE,0.043,0.024,"1,38","1,38",Preservado sem 2020-2022
noroeste_internacoes_i60_i69_temp_med,Noroeste,internacoes_i60_i69,temp_med,2.2577073873814375,19.232252109704643,0.00960860249354591,FALSE,ok,2.4783712023353415,19.808020393811535,8.101130638704411e-4,FALSE,0.010,<0.001,"2,26","2,48",Preservado sem 2020-2022
norte_internacoes_i60_i69_temp_med,Norte,internacoes_i60_i69,temp_med,1.9065300425824243,18.52104166666667,0.00530342040043295,FALSE,ok,1.7227258979782618,18.54125,0.0033892620870251996,FALSE,0.005,0.003,"1,91","1,72",Preservado sem 2020-2022
norte_internacoes_i60_i69_ur_med,Norte,internacoes_i60_i69,ur_med,1.9065378462971885,84.90423523206749,0.00960860249354591,FALSE,ok,2.2581942534080617,84.72526722925458,6.910828649326511e-5,FALSE,0.010,<0.001,"1,91","2,26",Preservado sem 2020-2022
norte_obitos_i60_i69_temp_med,Norte,obitos_i60_i69,temp_med,1.4047302126290038,20.17209423347398,0.01590324528072061,FALSE,ok,1.3391565206255742,26.744974331926866,0.024004341390093335,FALSE,0.016,0.024,"1,40","1,34",Preservado sem 2020-2022
norte_obitos_i60_i69_ur_med,Norte,obitos_i60_i69,ur_med,1.7273404681227222,71.68910864978902,0.04292872787518827,FALSE,ok,2.047719389661193,81.83992967651196,0.00176472301065485,FALSE,0.043,0.002,"1,73","2,05",Preservado sem 2020-2022
serrana_internacoes_i60_i69_temp_med,Serrana,internacoes_i60_i69,temp_med,1.7939835588309396,12.95713839662447,1.727003291437952e-4,FALSE,ok,1.8712346240361983,12.808697612197932,1.598091500789839e-5,FALSE,<0.001,<0.001,"1,79","1,87",Preservado sem 2020-2022
serrana_internacoes_i60_i69_ur_med,Serrana,internacoes_i60_i69,ur_med,1.592216898061861,59.16486111111111,0.01270614787349262,FALSE,ok,1.7546130512955618,82.85912374640739,6.129708270916717e-4,FALSE,0.013,<0.001,"1,59","1,75",Preservado sem 2020-2022
