macro_regiao,desfecho,exposicao,n_lags,auc_min,auc_max,auc_amplitude,rr_max_min,rr_max_max,rr_max_amplitude,p_curva_min,p_consistente_005,interpretacao
Noroeste,obitos_i60_i69,temp_med,3,1.6170074438259445,4.040464910305492,2.423457466479548,1.227461955351853,1.8581284859313594,0.6306665305795063,0.023032587817672492,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Metropolitana II,obitos_i60_i69,ur_med,3,6.903342681052109,9.588002585179314,2.684659904127205,1.2740209451362254,1.6921749745750383,0.41815402943881286,0.009477290259489818,TRUE,Associacao estavel nos tras lags avaliados.
Noroeste,internacoes_i60_i64,temp_med,3,2.6135678225697023,5.310779138713917,2.6972113161442146,1.4972606748235187,2.343125734721807,0.8458650598982884,1.619140704513536e-4,TRUE,Associacao estavel nos tras lags avaliados.
Medio Paraiba,obitos_i60_i69,temp_med,3,0.9209599648744505,3.6771716297901857,2.7562116649157353,1.2733770496472143,1.8556970916157893,0.582320041968575,9.6427800240319e-4,TRUE,Associacao estavel nos tras lags avaliados.
Baia da Ilha Grande,obitos_i60_i69,temp_med,3,1.7448316771485861,4.691569132400524,2.9467374552519376,1.6154630054161268,1.9350664343092192,0.31960342889309246,0.055954987471931915,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Serrana,obitos_i60_i64,temp_med,3,2.1726660501884485,5.395672195372907,3.223006145184459,1.3937177632674311,2.073749391105369,0.6800316278379377,0.014341727019262007,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Noroeste,obitos_i60_i69,ur_med,3,1.1413873405055903,4.3948758662523195,3.253488525746729,1.0619878638719642,1.2918985626495383,0.22991069877757409,0.3424183349837178,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Noroeste,obitos_i60_i64,ur_med,3,8.150193882175628,11.441934027216776,3.291740145041148,1.4495968396338508,1.570425148776497,0.1208283091426463,0.07685012525491958,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Norte,obitos_i60_i64,temp_med,3,3.5395105867698966,7.297519256455737,3.7580086696858404,1.5033423713535106,2.1157899682170975,0.612447596863587,0.00917520112182405,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Baixada Litoranea,internacoes_i60_i69,ur_med,3,2.5391174610043072,6.359743313309593,3.820625852305286,1.2212370995943795,1.4938164839481796,0.2725793843538,0.014175118813001212,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Norte,internacoes_i60_i64,ur_med,3,1.3819811507505109,5.308166770538418,3.926185619787907,1.1380391635339124,1.3146698014100744,0.17663063787616196,0.15262523327909164,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Baia da Ilha Grande,obitos_i60_i69,ur_med,3,9.912104394527308,13.860953493787019,3.9488490992597107,1.535123014499177,1.7765575776247988,0.24143456312562184,0.016709460573132395,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Baixada Litoranea,internacoes_i60_i64,ur_med,3,2.7298955989198816,6.680405575772137,3.9505099768522554,1.1937864574381296,1.5244917614826439,0.33070530404451426,0.02233369363746618,TRUE,Associacao estavel nos tras lags avaliados.
Medio Paraiba,obitos_i60_i64,temp_med,3,1.513974773607918,5.68613906011464,4.172164286506722,1.6588051275900648,2.162390062536025,0.5035849349459602,1.3526570783703609e-5,TRUE,Associacao estavel nos tras lags avaliados.
Medio Paraiba,obitos_i60_i64,ur_med,3,7.560239697512824,11.868714828372648,4.308475130859824,1.4400575922304713,3.0597886457487875,1.6197310535183163,0.002995029498475441,TRUE,Associacao estavel nos tras lags avaliados.
Noroeste,internacoes_i60_i64,ur_med,3,5.5081627687833326,9.889439208144445,4.3812764393611126,1.4200690863035605,1.4592199083736184,0.03915082207005782,0.02476769456315916,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Metropolitana I,obitos_i60_i64,ur_med,3,1.1246705535440642,5.860734471606577,4.736063918062513,1.0764068280443877,1.2143455773960399,0.13793874935165218,0.07761176436902494,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
