modelo_id,percentil,rr_median,rr_range,prob_median,prob_range,prior_robusto
baia_da_ilha_grande_internacoes_i60_i69_temp_med,P05,1.3884154032002194,0.032917911641956454,0.9587388841215524,0.007451869183266013,TRUE
baia_da_ilha_grande_internacoes_i60_i69_temp_med_2,P95,1.1048478904462486,5.322264962288603e-4,0.5465270866939593,0.004710211488048732,TRUE
baia_da_ilha_grande_internacoes_i60_i69_ur_med,P05,1.1903162738913635,0.0076159744408599295,0.8835334473324313,0.0073733530967984295,TRUE
baia_da_ilha_grande_internacoes_i60_i69_ur_med_2,P95,1.1820270211955364,0.014763860960558262,0.7684459330520027,0.020154677923797215,TRUE
baia_da_ilha_grande_obitos_i60_i69_temp_med,P05,1.2909983125349636,0.006049892022928605,0.9941675626972588,2.0893347770900572e-4,TRUE
baia_da_ilha_grande_obitos_i60_i69_temp_med_2,P95,1.1587564069773586,0.0056689501400495335,0.6759764474909794,0.011025865029834048,TRUE
baia_da_ilha_grande_obitos_i60_i69_ur_med,P05,1.1556024341481488,0.004098111587286457,0.7684666509789533,0.01652285197536152,TRUE
baia_da_ilha_grande_obitos_i60_i69_ur_med_2,P95,1.0992189634924754,7.487984630243361e-4,0.47780862250194467,0.005824512852085517,TRUE
baixada_litoranea_internacoes_i60_i69_temp_med,P05,1.3263550821271848,0.017648357383548863,0.9569725044628614,0.00547018810261557,TRUE
baixada_litoranea_internacoes_i60_i69_temp_med_2,P95,1.1104336547080216,7.484637228538649e-4,0.5869307148308023,0.005578565641025324,TRUE
baixada_litoranea_internacoes_i60_i69_ur_med,P05,1.1956717699928467,0.007890663372423168,0.8988950750405125,0.007508330571867172,TRUE
baixada_litoranea_internacoes_i60_i69_ur_med_2,P95,1.1477662935877528,0.006780974542892393,0.708971303621515,0.014465213250570819,TRUE
baixada_litoranea_obitos_i60_i69_temp_med,P05,1.293223401346204,0.0057756740310586085,0.9973431724291701,7.687672059053519e-5,TRUE
baixada_litoranea_obitos_i60_i69_temp_med_2,P95,1.0987664818440235,0.001223166483544702,0.48726969855666463,0.005761251986164784,TRUE
baixada_litoranea_obitos_i60_i69_ur_med,P05,1.2208280453844975,0.013799572369827207,0.8076260730867151,0.022281240287203907,TRUE
baixada_litoranea_obitos_i60_i69_ur_med_2,P95,1.105609435035424,0.0010936429455343788,0.5157721507245058,0.006848064763623984,TRUE
centro_sul_internacoes_i60_i69_temp_med,P05,1.2660204006251807,0.013262291048887098,0.861968639243794,0.005075845334032936,TRUE
centro_sul_internacoes_i60_i69_temp_med_2,P95,1.1080408428579676,6.402935651275143e-4,0.5708868435699133,0.0052217064114159495,TRUE
centro_sul_internacoes_i60_i69_ur_med,P05,1.1825044276258725,0.007810977326610402,0.8457890848132115,0.006607466313137134,TRUE
centro_sul_internacoes_i60_i69_ur_med_2,P95,1.1191378908320455,0.0012375817822198876,0.6429665847478857,0.005325535638662893,TRUE
centro_sul_obitos_i60_i69_temp_med,P05,1.2954841380385111,0.006721269181579892,0.9957937172753527,1.1883326833750374e-4,TRUE
centro_sul_obitos_i60_i69_temp_med_2,P95,1.1241303610452054,0.0023159716517324735,0.592092222702715,0.00794887128852051,TRUE
centro_sul_obitos_i60_i69_ur_med,P05,1.1544352799585722,0.008825822427840135,0.6299286850294569,0.019534123927748337,TRUE
centro_sul_obitos_i60_i69_ur_med_2,P95,1.0949466481014005,4.171639483585565e-4,0.4506872285214544,0.004819164070126669,TRUE
medio_paraiba_internacoes_i60_i69_temp_med,P05,1.218556351622963,0.006063258022615425,0.8125729117288374,0.004618434985202979,TRUE
medio_paraiba_internacoes_i60_i69_temp_med_2,P95,1.1022310445443415,3.1094958763921987e-4,0.5305127262838009,0.00397721339781032,TRUE
medio_paraiba_internacoes_i60_i69_ur_med,P05,1.0982865227790872,0.001155568446832067,0.49442803047870604,0.013872864206369129,TRUE
medio_paraiba_internacoes_i60_i69_ur_med_2,P95,1.1878661609552998,0.015658489434548395,0.7805762248895871,0.02040929312639006,TRUE
medio_paraiba_obitos_i60_i69_temp_med,P05,1.2887066371708291,0.0051757831446523905,0.9964139487148668,1.2628788844504246e-4,TRUE
medio_paraiba_obitos_i60_i69_temp_med_2,P95,1.1786531601682795,0.0031281850106987807,0.848386444857108,0.006989715552829678,TRUE
medio_paraiba_obitos_i60_i69_ur_med,P05,1.2530362241436548,0.015182182980121972,0.8708672959632389,0.019550845091571123,TRUE
medio_paraiba_obitos_i60_i69_ur_med_2,P95,1.1028956394199174,8.848936801597596e-4,0.50211155513451,0.0064282246342654,TRUE
metropolitana_i_internacoes_i60_i69_temp_med,P05,1.2053496918068354,0.004556441694177016,0.8038463456456639,0.004913287925272125,TRUE
metropolitana_i_internacoes_i60_i69_temp_med_2,P95,1.1146296204369204,0.0010258722830884803,0.6067795042796469,0.006102408937950887,TRUE
metropolitana_i_internacoes_i60_i69_ur_med,P05,1.1665117649306573,0.005694007713182625,0.804412350238945,0.003822706217146865,TRUE
metropolitana_i_internacoes_i60_i69_ur_med_2,P95,1.116353275648224,9.314252431511516e-4,0.6157157481924412,0.0036271178147878613,TRUE
metropolitana_i_obitos_i60_i69_temp_med,P05,1.2727528543619357,0.00255044016831274,0.9999224067271608,2.136688072251758e-6,TRUE
metropolitana_i_obitos_i60_i69_temp_med_2,P95,1.1937095866724403,0.0015655626911241782,0.9765562714359345,0.0016514590032563614,TRUE
metropolitana_i_obitos_i60_i69_ur_med,P05,1.0149997120767449,4.1713272550047975e-4,1.386674064146854e-6,1.502107365194267e-7,TRUE
metropolitana_i_obitos_i60_i69_ur_med_2,P95,1.098152437227157,5.355727828020296e-4,0.47443033016573505,0.005432218508555353,TRUE
metropolitana_ii_internacoes_i60_i69_temp_med,P05,1.0673045538229304,0.0013688954959369948,0.14625671482976882,0.01132931771672177,TRUE
metropolitana_ii_internacoes_i60_i69_temp_med_2,P95,1.1034409437004302,4.695082150349972e-4,0.5370326052284682,0.004465836548839586,TRUE
metropolitana_ii_internacoes_i60_i69_ur_med,P05,1.20642208516065,0.009689967618090378,0.9050144409129979,0.007893710299647694,TRUE
metropolitana_ii_internacoes_i60_i69_ur_med_2,P95,1.0844257712085754,0.0018376228440943887,0.37139933299815225,0.013394237722260394,TRUE
metropolitana_ii_obitos_i60_i69_temp_med,P05,1.2756849304985984,0.003746060956336228,0.9871652598306991,0.0011461739808454885,TRUE
metropolitana_ii_obitos_i60_i69_temp_med_2,P95,1.0286291432218901,4.5912119490720826e-4,0.030777533414535017,2.4912954309869867e-4,TRUE
metropolitana_ii_obitos_i60_i69_ur_med,P05,1.1800407300840614,0.009488796921145015,0.7300526996958461,0.021309649802154218,TRUE
metropolitana_ii_obitos_i60_i69_ur_med_2,P95,1.087917088056343,1.700620478037873e-4,0.376358512844298,0.003056074045964363,TRUE
noroeste_internacoes_i60_i69_temp_med,P05,1.4613761052880205,0.051783125966697874,0.9698172832867222,0.007973269140538197,FALSE
noroeste_internacoes_i60_i69_temp_med_2,P95,1.09019521894741,7.808166283207463e-5,0.4296144331962211,0.002087322223228494,TRUE
