macro_regiao,desfecho,exposicao,familia,dispersao,alerta_convergencia,avisos_modelo,p_associacao,metodo_p,df_exp,df_lag,lag_max,cen,cen_mmt,cen_percentil_mmt,percentil,valor,rr_cumulativo,ic95_inf,ic95_sup,modelo_id,theta_hat,se_theta,rr_bayes,cri95_inf_bayes,cri95_sup_bayes,prob_rr_maior_1_10,prior_especificacao
Metropolitana II,obitos_i60_i69,temp_med,quasipoisson,1.0201790065500629,FALSE,,0.9411189716051044,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.9276,4,3,14,29.649958333333323,29.649958333333323,99,P05,12.797116666666666,1.0637650738343407,0.7623577046230939,1.484337503835206,metropolitana_ii_obitos_i60_i69_temp_med,0.06181457127211202,0.16997964182168773,1.2750565589525813,1.1356471675842565,1.431579521292979,0.9811949029837316,flat
Noroeste,obitos_i60_i69,temp_med,quasipoisson,1.0171122196324631,FALSE,,0.6695397028779452,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.6438,4,3,14,23.69876687763713,23.69876687763713,48.9,P05,17.333983333333336,1.3083221086218,0.8842996549188654,1.935663697692659,noroeste_obitos_i60_i69_temp_med,0.2687454831321085,0.19985305028724656,1.2915805770638056,1.1487356199875067,1.4521882651002112,0.9927169546060637,flat
Norte,obitos_i60_i69,temp_med,quasipoisson,0.9852453555450292,FALSE,,0.1522662283083023,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.03138,4,3,14,23.855211497890295,23.855211497890295,51,P05,19.022707638888892,1.351103220288982,1.0478326892780516,1.7421482747718042,norte_obitos_i60_i69_temp_med,0.30092145893810573,0.12969500226780709,1.2952791177480334,1.161883667297357,1.443989652403594,0.9971468774512793,flat
Serrana,obitos_i60_i69,temp_med,quasipoisson,1.0222944678789712,FALSE,,0.4662252848446166,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.3786,4,3,14,23.37515738396624,23.37515738396624,98.2,P05,10.864852916666663,1.3624452965054326,0.9532901872287166,1.9472110495189816,serrana_obitos_i60_i69_temp_med,0.30928109739544424,0.18220590950882934,1.2944755573226039,1.151942349377031,1.4546448174354076,0.994675122778382,flat
Baia da Ilha Grande,obitos_i60_i69,temp_med,quasipoisson,0.9855780459731848,FALSE,,0.3392418060751728,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.06819,4,3,14,23.83554957805907,23.83554957805907,60.8,P95,28.849101041666664,1.5185967640740627,0.9375321902443,2.4597940805160903,baia_da_ilha_grande_obitos_i60_i69_temp_med_2,0.4177867269334477,0.24607131365890259,1.1691526488217439,0.9420149918290098,1.4510574970711472,0.7030551093074675,flat
Baixada Litoranea,obitos_i60_i69,temp_med,quasipoisson,1.0419280877039037,FALSE,,0.46332566087443405,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.3025,4,3,14,23.516865382228836,23.516865382228836,54.8,P95,27.37758835784313,1.119349969124304,0.7978998885272242,1.5703027051316978,baixada_litoranea_obitos_i60_i69_temp_med_2,0.11274813210815911,0.17271759948344864,1.1170856359678167,0.9314955866069623,1.3396524213615577,0.5584323222098961,flat
Centro-Sul,obitos_i60_i69,temp_med,quasipoisson,1.008472372506584,FALSE,,0.22864010944816535,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.0844,4,3,14,24.38558808016877,24.38558808016877,79.6,P95,27.228841666666657,1.229453246495842,0.9144059803168952,1.6530461500211568,centro_sul_obitos_i60_i69_temp_med_2,0.20656955551419556,0.15104878672171507,1.1481029176382216,0.961059415653905,1.3715492382877643,0.6732880073027293,flat
Medio Paraiba,obitos_i60_i69,temp_med,quasipoisson,0.9853589614171916,FALSE,,0.20103164377181812,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.01622,4,3,14,24.17751687763713,24.17751687763713,75.6,P95,26.97412604166667,1.2442271387329662,1.063276702673303,1.4559720615220568,medio_paraiba_obitos_i60_i69_temp_med_2,0.21851456505585745,0.08018473668859005,1.1843254569003792,1.0368132444641989,1.352824913600652,0.8639724433398167,flat
Metropolitana I,obitos_i60_i69,temp_med,quasipoisson,1.045562573328566,FALSE,,9.36597484018916e-12,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=2.209e-12,4,3,14,25.07024809216268,25.07024809216268,67.6,P95,28.932047176108913,1.2189930005344227,1.1237652170388746,1.322290379539761,metropolitana_i_obitos_i60_i69_temp_med_2,0.1980251085092471,0.04150089549408517,1.1964780033784614,1.1040754007757272,1.2966139917280024,0.9800447543882056,flat
Metropolitana II,obitos_i60_i69,temp_med,quasipoisson,1.0201790065500629,FALSE,,0.9411189716051044,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.9276,4,3,14,29.649958333333323,29.649958333333323,99,P95,28.762966666666657,1.013711951437363,0.9394149862633716,1.0938849555449268,metropolitana_ii_obitos_i60_i69_temp_med_2,0.013618793252236689,0.038835787980277106,1.0301794214818845,0.9586504438012934,1.1070454797230838,0.03527299245292917,flat
