macro_regiao,desfecho,exposicao,familia,dispersao,alerta_convergencia,avisos_modelo,p_associacao,metodo_p,df_exp,df_lag,lag_max,cen,cen_mmt,cen_percentil_mmt,percentil,valor,rr_cumulativo,ic95_inf,ic95_sup
Baia da Ilha Grande,internacoes_i60_i69,temp_med,quasipoisson,1.0438292976113785,FALSE,,0.1807568157808315,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.06557,4,3,14,26.25755511603375,26.25755511603375,85.2,P01,16.858558958333337,1.587937940182678,0.9928402181702367,2.5397308204523714
Baia da Ilha Grande,internacoes_i60_i69,temp_med,quasipoisson,1.0438292976113785,FALSE,,0.1807568157808315,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.06557,4,3,14,26.25755511603375,26.25755511603375,85.2,P05,17.368794791666666,1.5822561554765817,1.0436933433082687,2.3987261752651423
Baia da Ilha Grande,internacoes_i60_i69,temp_med,quasipoisson,1.0438292976113785,FALSE,,0.1807568157808315,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.06557,4,3,14,26.25755511603375,26.25755511603375,85.2,P50,23.108947916666665,1.186900638696684,0.9225318508135585,1.5270292563842307
Baia da Ilha Grande,internacoes_i60_i69,temp_med,quasipoisson,1.0438292976113785,FALSE,,0.1807568157808315,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.06557,4,3,14,26.25755511603375,26.25755511603375,85.2,P95,28.849101041666664,1.1006181853566694,0.8503605991439067,1.42452553793924
Baia da Ilha Grande,internacoes_i60_i69,temp_med,quasipoisson,1.0438292976113785,FALSE,,0.1807568157808315,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.06557,4,3,14,26.25755511603375,26.25755511603375,85.2,P99,29.359336874999993,1.1422204660832305,0.8189832407901901,1.5930333224897166
Baia da Ilha Grande,internacoes_i60_i69,ur_med,quasipoisson,1.0449689909260238,FALSE,,0.0975866374817792,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.01774,4,3,14,72.86090887937453,72.86090887937453,10,P01,62.80023235294118,1.4377117318634893,1.0445808101163776,1.9787985801765071
Baia da Ilha Grande,internacoes_i60_i69,ur_med,quasipoisson,1.0449689909260238,FALSE,,0.0975866374817792,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.01774,4,3,14,72.86090887937453,72.86090887937453,10,P05,64.0613088235294,1.3304333160839918,1.0230357180317398,1.73019649006168
Baia da Ilha Grande,internacoes_i60_i69,ur_med,quasipoisson,1.0449689909260238,FALSE,,0.0975866374817792,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.01774,4,3,14,72.86090887937453,72.86090887937453,10,P50,78.24841911764705,1.1170265843032834,0.9174837011854894,1.3599679083432574
Baia da Ilha Grande,internacoes_i60_i69,ur_med,quasipoisson,1.0449689909260238,FALSE,,0.0975866374817792,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.01774,4,3,14,72.86090887937453,72.86090887937453,10,P95,92.4355294117647,1.555867893667291,1.0481808006505866,2.3094535799951617
Baia da Ilha Grande,internacoes_i60_i69,ur_med,quasipoisson,1.0449689909260238,FALSE,,0.0975866374817792,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.01774,4,3,14,72.86090887937453,72.86090887937453,10,P99,93.69660588235293,1.7993589097059524,1.0630743926927502,3.045593524021561
Baia da Ilha Grande,obitos_i60_i69,temp_med,quasipoisson,0.9855780459731848,FALSE,,0.3392418060751728,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.06819,4,3,14,23.83554957805907,23.83554957805907,60.8,P01,16.858558958333337,1.4771375470231565,0.7847474562823049,2.780429952793194
Baia da Ilha Grande,obitos_i60_i69,temp_med,quasipoisson,0.9855780459731848,FALSE,,0.3392418060751728,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.06819,4,3,14,23.83554957805907,23.83554957805907,60.8,P05,17.368794791666666,1.5126637168221653,0.8568938729862658,2.670285775548919
Baia da Ilha Grande,obitos_i60_i69,temp_med,quasipoisson,0.9855780459731848,FALSE,,0.3392418060751728,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.06819,4,3,14,23.83554957805907,23.83554957805907,60.8,P50,23.108947916666665,1.0244414419256245,0.9225696141302596,1.1375621436698156
Baia da Ilha Grande,obitos_i60_i69,temp_med,quasipoisson,0.9855780459731848,FALSE,,0.3392418060751728,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.06819,4,3,14,23.83554957805907,23.83554957805907,60.8,P95,28.849101041666664,1.5185967640740627,0.9375321902443,2.4597940805160903
Baia da Ilha Grande,obitos_i60_i69,temp_med,quasipoisson,0.9855780459731848,FALSE,,0.3392418060751728,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.06819,4,3,14,23.83554957805907,23.83554957805907,60.8,P99,29.359336874999993,1.6252112063279107,0.9303885281861762,2.8389338272722995
Baia da Ilha Grande,obitos_i60_i69,ur_med,quasipoisson,0.9829886266140101,FALSE,,0.46209710050098307,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.3938,4,3,14,62.48496323529412,62.48496323529412,1,P01,62.80023235294118,1.0430001670386992,1.0053610318659842,1.0820484522099185
Baia da Ilha Grande,obitos_i60_i69,ur_med,quasipoisson,0.9829886266140101,FALSE,,0.46209710050098307,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.3938,4,3,14,62.48496323529412,62.48496323529412,1,P05,64.0613088235294,1.1734073857686564,1.019881182379887,1.3500444137654146
Baia da Ilha Grande,obitos_i60_i69,ur_med,quasipoisson,0.9829886266140101,FALSE,,0.46209710050098307,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.3938,4,3,14,62.48496323529412,62.48496323529412,1,P50,78.24841911764705,1.4553770144819644,0.7686595964698735,2.755605035063727
Baia da Ilha Grande,obitos_i60_i69,ur_med,quasipoisson,0.9829886266140101,FALSE,,0.46209710050098307,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.3938,4,3,14,62.48496323529412,62.48496323529412,1,P95,92.4355294117647,1.243902368982335,0.5459736547902669,2.8340068975567134
Baia da Ilha Grande,obitos_i60_i69,ur_med,quasipoisson,0.9829886266140101,FALSE,,0.46209710050098307,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.3938,4,3,14,62.48496323529412,62.48496323529412,1,P99,93.69660588235293,1.1457030721363761,0.4187347105292189,3.1347664678759326
Baia da Ilha Grande,internacoes_i60_i64,temp_med,quasipoisson,1.0440843178248544,FALSE,,0.13548293484268104,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.04778,4,3,14,26.58048918776371,26.58048918776371,87.6,P01,16.858558958333337,1.7799508711765002,1.0937355924770449,2.896701109110588
Baia da Ilha Grande,internacoes_i60_i64,temp_med,quasipoisson,1.0440843178248544,FALSE,,0.13548293484268104,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.04778,4,3,14,26.58048918776371,26.58048918776371,87.6,P05,17.368794791666666,1.7490959459636597,1.1357026747962107,2.693783061429765
Baia da Ilha Grande,internacoes_i60_i64,temp_med,quasipoisson,1.0440843178248544,FALSE,,0.13548293484268104,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.04778,4,3,14,26.58048918776371,26.58048918776371,87.6,P50,23.108947916666665,1.2102422581198737,0.9248129117088129,1.5837650024076038
Baia da Ilha Grande,internacoes_i60_i64,temp_med,quasipoisson,1.0440843178248544,FALSE,,0.13548293484268104,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.04778,4,3,14,26.58048918776371,26.58048918776371,87.6,P95,28.849101041666664,1.0718829493857847,0.8356928189459968,1.3748270071687836
Baia da Ilha Grande,internacoes_i60_i64,temp_med,quasipoisson,1.0440843178248544,FALSE,,0.13548293484268104,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.04778,4,3,14,26.58048918776371,26.58048918776371,87.6,P99,29.359336874999993,1.1052754346160354,0.7970247459439052,1.5327426062774276
Baia da Ilha Grande,internacoes_i60_i64,ur_med,quasipoisson,1.04505072296569,FALSE,,0.16181127894037778,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.03852,4,3,14,72.86090887937453,72.86090887937453,10,P01,62.80023235294118,1.4291182063452994,1.0294577945430197,1.983936455223233
Baia da Ilha Grande,internacoes_i60_i64,ur_med,quasipoisson,1.04505072296569,FALSE,,0.16181127894037778,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.03852,4,3,14,72.86090887937453,72.86090887937453,10,P05,64.0613088235294,1.3245493431918942,1.0113272845880108,1.734780608895358
Baia da Ilha Grande,internacoes_i60_i64,ur_med,quasipoisson,1.04505072296569,FALSE,,0.16181127894037778,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.03852,4,3,14,72.86090887937453,72.86090887937453,10,P50,78.24841911764705,1.112262689258661,0.9082448144072804,1.3621088392607639
Baia da Ilha Grande,internacoes_i60_i64,ur_med,quasipoisson,1.04505072296569,FALSE,,0.16181127894037778,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.03852,4,3,14,72.86090887937453,72.86090887937453,10,P95,92.4355294117647,1.6411828647155884,1.0952474440081879,2.459244447609895
Baia da Ilha Grande,internacoes_i60_i64,ur_med,quasipoisson,1.04505072296569,FALSE,,0.16181127894037778,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.03852,4,3,14,72.86090887937453,72.86090887937453,10,P99,93.69660588235293,1.900178617559628,1.1084246023859707,3.257487041390592
Baia da Ilha Grande,obitos_i60_i64,temp_med,quasipoisson,1.0078983024044015,FALSE,,0.6917349651557647,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.3413,4,3,14,24.158483649789027,24.158483649789027,64.6,P01,16.858558958333337,1.2758596512019564,0.5668143476557373,2.871871286070295
Baia da Ilha Grande,obitos_i60_i64,temp_med,quasipoisson,1.0078983024044015,FALSE,,0.6917349651557647,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.3413,4,3,14,24.158483649789027,24.158483649789027,64.6,P05,17.368794791666666,1.4092919590082569,0.6819932578826136,2.9122044870232187
