modelo_id,macro_regiao,desfecho,exposicao,p_associacao,metodo_p,p_curva_auc,metodo_p_curva_auc,alerta_convergencia,avisos_modelo,cen,cen_mmt,cen_percentil_mmt,auc_rr_cumulativo,auc_excesso_rr_cumulativo,auc_protecao_rr_cumulativo,rr_cumulativo_max,exposicao_rr_max,p_associacao_fdr,p_curva_fdr,classe_fdr,adj_p_val_priorizacao,n_lags_avaliados,estabilidade_lag_interpretacao,lag_p_consistente_005,lag_rr_amplitude,lag_auc_amplitude,status_sem_pandemia,p_curva_auc_sem_pandemia,rr_cumulativo_max_sem_pandemia,auc_excesso_rr_cumulativo_sem_pandemia,alerta_convergencia_sem_pandemia,avisos_modelo_sem_pandemia,eventos_observados_extremos,dias_extremos,familia,dispersao_quasipoisson,modelo_i60_i69,fdr_significativo,magnitude_alta_rr,magnitude_alta_auc,flag_convergencia,flag_warning_modelo,flag_estimativa_extrema,flag_ic_amplo,flag_poucos_eventos,flag_sensibilidade_lag,pandemia_rr_ratio,flag_dependencia_pandemia,flag_dados_ausentes,flag_extrapolacao_exposicao,flag_borda_instavel,n_flags_cautela,flag_critica,escore_robustez,categoria_final,prioridade_categoria,ordem_rr_entre_fdr,ordem_auc_entre_fdr,ordem_composta,interpretacao_priorizacao
norte_internacoes_i60_i69_temp_med,Norte,internacoes_i60_i69,temp_med,1.1524466216771663e-20,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.1581,4.1432971878382457e-4,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,28.554361111111103,28.554361111111103,99,16.917515643807306,6.884196199362868,0,1.9065300425824243,18.52104166666667,4.917105585822577e-19,0.00530342040043295,fdr_significativo,4.917105585822577e-19,3,Associacao estavel nos tras lags avaliados.,TRUE,2.1833928145495975,14.965619093169241,ok,0.0033892620870251996,1.7227258979782618,5.47019870942374,FALSE,,1785,646,quasipoisson,1.9259157956556734,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,0.9035923166701338,FALSE,,,,1,FALSE,110,achado_principal_com_cautela,4,47,65,3,"FDR < 0,05, poram com fragilidade marcada; manter como achado principal com cautela."
serrana_internacoes_i60_i69_temp_med,Serrana,internacoes_i60_i69,temp_med,6.661338147750939e-16,Negative binomial likelihood-ratio test: modelo completo vs. modelo sem crossbasis | NW-HAC(lag=21): p=0.03687,4.0476639643077e-6,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,17.992514240506328,17.992514240506328,51.9,18.665825159473417,4.948766826140089,0,1.7939835588309396,12.95713839662447,2.131628207280301e-14,1.727003291437952e-4,fdr_significativo,2.131628207280301e-14,3,Associacao estavel nos tras lags avaliados.,TRUE,4.280124175562317,7.413341545461947,ok,1.598091500789839e-5,1.8712346240361983,5.26777470453255,FALSE,,3497,646,negative_binomial,16.57475386704071,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,1.0430611890644081,FALSE,,,,1,FALSE,110,achado_principal_com_cautela,4,55,82,3,"FDR < 0,05, poram com fragilidade marcada; manter como achado principal com cautela."
norte_internacoes_i60_i69_ur_med,Norte,internacoes_i60_i69,ur_med,5.158303542973777e-4,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.7956,9.49445645358128e-4,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,63.246111111111105,63.246111111111105,1,46.55051245907868,17.55065134796758,0,1.9065378462971885,84.90423523206749,0.00471616323929031,0.00960860249354591,fdr_significativo,0.00471616323929031,3,Associacao estavel nos tras lags avaliados.,TRUE,1.9002577539703898,45.01091840310381,ok,6.910828649326511e-5,2.2581942534080617,20.568318364394486,FALSE,,1735,645,quasipoisson,2.186526024163732,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,1.1844476404147173,FALSE,,,,1,FALSE,110,achado_principal_com_cautela,4,46,24,5,"FDR < 0,05, poram com fragilidade marcada; manter como achado principal com cautela."
noroeste_internacoes_i60_i69_temp_med,Noroeste,internacoes_i60_i69,temp_med,0.00203323376045826,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.0237,0.00100333756275588,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,30.226749999999996,30.226749999999996,99,20.538829776831125,6.967496443497797,0,2.2577073873814375,19.232252109704643,0.01530905419639166,0.00960860249354591,fdr_significativo,0.01530905419639166,3,Associacao estavel nos tras lags avaliados.,TRUE,1.3902118716257876,6.247012740633221,ok,8.101130638704411e-4,2.4783712023353415,8.766467219909517,FALSE,,1124,647,quasipoisson,2.673643577108682,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,1.0977380045736738,FALSE,,,,1,FALSE,110,achado_principal_com_cautela,4,32,63,6,"FDR < 0,05, poram com fragilidade marcada; manter como achado principal com cautela."
medio_paraiba_internacoes_i60_i69_ur_med,Medio Paraiba,internacoes_i60_i69,ur_med,2.5509064971451775e-8,Negative binomial likelihood-ratio test: modelo completo vs. modelo sem crossbasis | NW-HAC(lag=21): p=0.03037,0.00167850001000238,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,53.714305555555555,53.714305555555555,1,54.208801341012304,16.78839856323454,0,1.6471735242567989,91.13470833333332,4.081450395432285e-7,0.01270614787349262,fdr_significativo,4.081450395432285e-7,3,"Direcao da associaaao preservada, mas significancia varia conforme o lag.",FALSE,0.08706680196119865,5.470669940608488,ok,6.339785102575256e-4,1.7939625377415667,21.996422855774195,FALSE,,3119,647,negative_binomial,5.860530822479498,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,1.089115695051618,FALSE,,,,1,FALSE,100,achado_principal_com_cautela,4,68,26,7,"FDR < 0,05, poram com fragilidade marcada; manter como achado principal com cautela."
metropolitana_i_internacoes_i60_i69_temp_med,Metropolitana I,internacoes_i60_i69,temp_med,1.927932055485767e-4,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.02832,0.03722033578853079,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,Binomial negativa rejeitada por instabilidade numerica; mantido Quasi-Poisson.,24.145266275648616,24.145266275648616,57.7,13.75399348309542,1.5750662323268665,0,1.402357525039987,29.540993538647346,0.00189827156232444,0.07179555779012779,fdr_significativo,0.00189827156232444,3,Associacao estavel nos tras lags avaliados.,TRUE,0.5788889026704975,1.7488237619658873,ok,0.03819290489725975,1.4380564088286591,1.7076567843310628,FALSE,Binomial negativa rejeitada por instabilidade numerica; mantido Quasi-Poisson.,20728,645,quasipoisson,18.725424728764455,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,TRUE,1.0254563356000492,FALSE,,,,2,FALSE,100,achado_principal_com_cautela,4,97,118,8,"FDR < 0,05, poram com fragilidade marcada; manter como achado principal com cautela."
metropolitana_i_internacoes_i60_i69_ur_med,Metropolitana I,internacoes_i60_i69,ur_med,0.0075663680542718,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.1315,0.03396420690050798,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,Binomial negativa rejeitada por instabilidade numerica; mantido Quasi-Poisson.,92.29516666666665,92.29516666666665,99,49.86587234004904,12.152275117826845,0,1.5901265997158498,77.49616016174402,0.04402250504303598,0.06792841380101597,fdr_significativo,0.04402250504303598,3,"Direcao da associaaao preservada, mas significancia varia conforme o lag.",FALSE,0.30315755575911907,12.468423775432052,ok,0.020618189798136934,1.8851614063253228,17.93199201931125,FALSE,Binomial negativa rejeitada por instabilidade numerica; mantido Quasi-Poisson.,14232,645,quasipoisson,18.712555358335255,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,TRUE,1.1855417088565117,FALSE,,,,2,FALSE,90,achado_principal_com_cautela,4,74,36,9,"FDR < 0,05, poram com fragilidade marcada; manter como achado principal com cautela."
medio_paraiba_internacoes_i60_i69_temp_med,Medio Paraiba,internacoes_i60_i69,temp_med,2.601818923642085e-7,Negative binomial likelihood-ratio test: modelo completo vs. modelo sem crossbasis | NW-HAC(lag=21): p=0.1721,0.0145304554090816,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,27.622020833333337,27.622020833333337,99,15.575381884882884,2.6174860515495486,0,1.358852831359736,18.1086289556962,3.700364691402077e-6,0.04292872787518827,fdr_significativo,3.700364691402077e-6,3,Associacao estavel nos tras lags avaliados.,TRUE,0.051883696963229475,1.0175291086892466,ok,3.9454696404682546e-4,1.7131584496641652,5.493886161709809,FALSE,,3050,646,negative_binomial,5.853062361993612,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1.2607387717990721,TRUE,,,,1,TRUE,90,achado_principal_com_cautela,4,104,104,10,"FDR < 0,05, poram com fragilidade marcada; manter como achado principal com cautela."
