modelo_id,macro_regiao,desfecho,exposicao,p_associacao,metodo_p,p_curva_auc,metodo_p_curva_auc,alerta_convergencia,avisos_modelo,cen,cen_mmt,cen_percentil_mmt,auc_rr_cumulativo,auc_excesso_rr_cumulativo,auc_protecao_rr_cumulativo,rr_cumulativo_max,exposicao_rr_max,p_associacao_fdr,p_curva_fdr,classe_fdr,estabilidade_lag,p_consistente_005,status_sem_pandemia,auc_excesso_rr_cumulativo_sem_pandemia,rr_cumulativo_max_sem_pandemia,p_curva_auc_sem_pandemia,alerta_convergencia_sem_pandemia,n_associado_estimado_total,p_residuo_ljung_box_21,desfecho_tipo,preservado_sem_pandemia,classe_evidencia_integrada,interpretacao_final
norte_internacoes_i60_i69_temp_med,Norte,internacoes_i60_i69,temp_med,1.1524466216771663e-20,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.1581,4.1432971878382457e-4,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,28.554361111111103,28.554361111111103,99,16.917515643807306,6.884196199362868,0,1.9065300425824243,18.52104166666667,4.840275811044099e-19,0.00522055445667618,fdr_significativo,Associacao estavel nos tras lags avaliados.,TRUE,ok,5.47019870942374,1.7227258979782618,0.0033892620870251996,FALSE,483.18081973815913,0.0378997137209689,principal_i60_i69,TRUE,robusto,"Associacao estatistica consistente apos FDR, estavel em lags e preservada sem o periodo pandemico."
serrana_internacoes_i60_i69_temp_med,Serrana,internacoes_i60_i69,temp_med,6.661338147750939e-16,Negative binomial likelihood-ratio test: modelo completo vs. modelo sem crossbasis | NW-HAC(lag=21): p=0.03687,4.0476639643077e-6,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,17.992514240506328,17.992514240506328,51.9,18.665825159473417,4.948766826140089,0,1.7939835588309396,12.95713839662447,2.0983215165415462e-14,1.7000188650092342e-4,fdr_significativo,Associacao estavel nos tras lags avaliados.,TRUE,ok,5.26777470453255,1.8712346240361983,1.598091500789839e-5,FALSE,880.525533975115,0.00360615965970034,principal_i60_i69,TRUE,robusto,"Associacao estatistica consistente apos FDR, estavel em lags e preservada sem o periodo pandemico."
noroeste_internacoes_i60_i64_temp_med,Noroeste,internacoes_i60_i64,temp_med,0.00289537077498735,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=5.982e-05,0.00105094089773158,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,30.226749999999996,30.226749999999996,99,17.473800699661055,3.9024673663277287,0,1.8922243902896156,16.655416666666667,0.01904828702200958,0.00945846807958425,fdr_significativo,Associacao estavel nos tras lags avaliados.,TRUE,ok,4.484730441281736,1.820570176173994,0.008382332079118378,FALSE,231.0937784552917,1.339435952805168e-4,sensibilidade_i60_i64,TRUE,robusto,"Associacao estatistica consistente apos FDR, estavel em lags e preservada sem o periodo pandemico."
baia_da_ilha_grande_internacoes_i60_i64_temp_med,Baia da Ilha Grande,internacoes_i60_i64,temp_med,0.13548293484268104,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.04778,0.00568755813162252,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,26.58048918776371,26.58048918776371,87.6,16.46496871299305,3.709072879659723,0,1.789739502385636,16.731,0.38797385886767755,0.03108789256124572,p_nominal,Associacao estavel nos tras lags avaliados.,TRUE,ok,4.201699856941306,1.9221206661307797,0.005649496979515334,FALSE,123.0473906663295,3.769078021564898e-5,sensibilidade_i60_i64,TRUE,robusto,"Associacao estatistica consistente apos FDR, estavel em lags e preservada sem o periodo pandemico."
baia_da_ilha_grande_internacoes_i60_i69_temp_med,Baia da Ilha Grande,internacoes_i60_i69,temp_med,0.1807568157808315,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.06557,0.01290222694569996,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,26.25755511603375,26.25755511603375,85.2,15.951819505609318,3.1959236722759923,0,1.5890143511965094,16.731,0.4555071757676954,0.04051256907702289,p_nominal,Associacao estavel nos tras lags avaliados.,TRUE,ok,3.816103104985688,1.7409332940680662,0.00712042217450961,FALSE,119.98414061966112,3.8021217737549406e-6,principal_i60_i69,TRUE,robusto,"Associacao estatistica consistente apos FDR, estavel em lags e preservada sem o periodo pandemico."
medio_paraiba_obitos_i60_i64_temp_med,Medio Paraiba,obitos_i60_i64,temp_med,0.00267573768115097,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.0003677,1.3526570783703607e-5,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,24.17751687763713,24.17751687763713,75.6,16.11886126877163,3.160965435438295,0,1.9183180751100215,27.622020833333337,0.01873016376805682,4.2608697968666366e-4,fdr_significativo,Associacao estavel nos tras lags avaliados.,TRUE,ok,3.0684905361825128,1.8757464956988117,2.0223374489181296e-4,FALSE,219.99726740664227,1.2028773014871597e-5,sensibilidade_i60_i64,TRUE,robusto,"Associacao estatistica consistente apos FDR, estavel em lags e preservada sem o periodo pandemico."
medio_paraiba_internacoes_i60_i64_temp_med,Medio Paraiba,internacoes_i60_i64,temp_med,0.0156488303559549,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.006567,0.01130139746132609,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,27.622020833333337,27.622020833333337,99,15.765501126344882,2.8076052930115463,0,1.3268693593083918,16.960460970464133,0.0730278749944562,0.03955489111464134,p_nominal,Associacao estavel nos tras lags avaliados.,TRUE,ok,4.009219565191508,1.445381391754295,0.004945535682758849,FALSE,296.28708893741754,3.960478218267838e-6,sensibilidade_i60_i64,TRUE,robusto,"Associacao estatistica consistente apos FDR, estavel em lags e preservada sem o periodo pandemico."
medio_paraiba_internacoes_i60_i69_temp_med,Medio Paraiba,internacoes_i60_i69,temp_med,2.601818923642085e-7,Negative binomial likelihood-ratio test: modelo completo vs. modelo sem crossbasis | NW-HAC(lag=21): p=0.1721,0.0145304554090816,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,27.622020833333337,27.622020833333337,99,15.575381884882884,2.6174860515495486,0,1.358852831359736,18.1086289556962,3.6425464930989193e-6,0.04051256907702289,fdr_significativo,Associacao estavel nos tras lags avaliados.,TRUE,ok,5.493886161709809,1.7131584496641652,3.9454696404682546e-4,FALSE,327.43557912248053,2.193447445897334e-8,principal_i60_i69,TRUE,robusto,"Associacao estatistica consistente apos FDR, estavel em lags e preservada sem o periodo pandemico."
metropolitana_i_internacoes_i60_i64_ur_med,Metropolitana I,internacoes_i60_i64,ur_med,7.63730913099584e-6,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=2.115e-08,2.043046080644613e-4,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,65.56147749648382,65.56147749648382,8.9,39.95588374985414,2.2422865276319413,0,1.196024515860996,92.29516666666665,8.748190459140689e-5,0.00286026451290245,fdr_significativo,Associacao estavel nos tras lags avaliados.,TRUE,ok,2.5114872964429225,1.2047876199985617,3.101451220889669e-4,FALSE,1149.7953058193489,7.406367430462525e-8,sensibilidade_i60_i64,TRUE,robusto,"Associacao estatistica consistente apos FDR, estavel em lags e preservada sem o periodo pandemico."
norte_obitos_i60_i69_temp_med,Norte,obitos_i60_i69,temp_med,0.1522662283083023,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.03138,0.00232187897540319,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,23.855211497890295,23.855211497890295,51,12.23812505392004,2.2048056094756032,0,1.4047302126290038,20.17209423347398,0.42154955752718454,0.01565475707320935,p_nominal,Associacao estavel nos tras lags avaliados.,TRUE,ok,2.0859848660748406,1.3391565206255742,0.024004341390093335,FALSE,151.62552922763706,3.051094751084227e-4,principal_i60_i69,TRUE,robusto,"Associacao estatistica consistente apos FDR, estavel em lags e preservada sem o periodo pandemico."
medio_paraiba_obitos_i60_i69_temp_med,Medio Paraiba,obitos_i60_i69,temp_med,0.20103164377181812,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.01622,0.00448989425013099,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,24.17751687763713,24.17751687763713,75.6,14.757728116052718,1.799832282719383,0,1.392623042250552,14.664125,0.4605452202772561,0.02693936550078596,p_nominal,Associacao estavel nos tras lags avaliados.,TRUE,ok,2.233837284334598,1.6059039580315146,0.00708865534888294,FALSE,228.4243083093729,6.243171690734074e-8,principal_i60_i69,TRUE,robusto,"Associacao estatistica consistente apos FDR, estavel em lags e preservada sem o periodo pandemico."
metropolitana_i_internacoes_i60_i64_temp_med,Metropolitana I,internacoes_i60_i64,temp_med,5.294000040702205e-12,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=7.056e-15,4.9513295924067e-5,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,29.540993538647346,29.540993538647346,99,13.922412905459684,1.7434856546911324,0,1.3334199852520068,17.36206628787879,1.1117400085474629e-10,8.91239326633206e-4,fdr_significativo,Associacao estavel nos tras lags avaliados.,TRUE,ok,1.62292712106348,1.298951365048111,7.804139631977771e-4,FALSE,1536.2158181364537,3.035097639880746e-7,sensibilidade_i60_i64,TRUE,robusto,"Associacao estatistica consistente apos FDR, estavel em lags e preservada sem o periodo pandemico."
