data,temp_med,ur_med,n_macros
2010-01-01,24.880401234567902,82.43132716049382,9
2010-01-02,25.00714436026936,71.70145903479236,9
2010-01-03,24.418507495590827,78.60311948853615,9
2010-01-04,24.534048551756886,80.60057573599241,9
2010-01-05,24.115817901234568,83.81921296296296,9
2010-01-06,24.081828703703703,79.30092592592592,9
2010-01-07,24.71412037037037,78.80671296296296,9
2010-01-08,24.767860976918946,79.81296967257113,9
2010-01-09,25.77631172839506,75.62808641975309,9
2010-01-10,25.308834876543212,76.87538580246914,9
2010-01-11,25.515162037037037,74.58796296296296,9
2010-01-12,25.074729938271606,75.57214506172839,9
2010-01-13,24.889601980815748,77.24116553736118,9
2010-01-14,24.891396604938272,79.32253086419753,9
2010-01-15,22.64236111111111,85.37037037037037,9
2010-01-16,24.32386574074074,82.40640432098765,9
2010-01-17,24.329976851851853,79.09375,9
2010-01-18,24.78672839506173,76.26581790123457,9
2010-01-19,26.632646604938273,76.10555555555555,9
2010-01-20,26.4110262345679,75.02384259259259,9
2010-01-21,24.868734567901235,75.77291666666667,9
2010-01-22,23.542793615984404,79.53547352176739,9
2010-01-23,25.00869984567901,78.58796296296296,9
2010-01-24,24.67361111111111,82.6863425925926,9
2010-01-25,24.497376543209874,82.91010802469135,9
2010-01-26,23.193862233445568,83.25329685746352,9
2010-01-27,25.49976851851852,77.48892914653784,9
2010-01-28,24.23341049382716,75.68016975308642,9
2010-01-29,24.426041666666666,76.18248456790123,9
2010-01-30,24.528869766505636,79.21781065485776,9
2010-01-31,24.745601851851852,76.77816358024691,9
2010-02-01,25.086458333333333,75.65393518518519,9
2010-02-02,25.543788580246915,74.74807098765432,9
2010-02-03,25.454359567901236,74.03626543209876,9
2010-02-04,27.20775462962963,71.04166666666667,9
2010-02-05,25.136496913580245,71.7457561728395,9
2010-02-06,26.736535493827162,67.64583333333333,9
2010-02-07,27.134760802469135,65.54706790123457,9
2010-02-08,27.35185185185185,68.4664184111648,9
2010-02-09,26.87993827160494,69.94598765432099,9
2010-02-10,25.547646604938272,78.90886674718196,9
2010-02-11,26.238486312399356,74.09000939345142,9
2010-02-12,26.560911500268386,72.494045222759,9
2010-02-13,26.304783950617285,72.62345679012346,9
2010-02-14,25.252145061728395,72.22345679012345,9
2010-02-15,24.946026234567903,73.05632716049382,9
2010-02-16,27.673418209876544,68.16859567901234,9
2010-02-17,25.11867283950617,74.04243827160494,9
2010-02-18,23.94278549382716,86.33179012345678,9
2010-02-19,23.95601851851852,84.67361111111111,9
2010-02-20,25.58204475308642,79.01851851851852,9
2010-02-21,26.574915824915823,75.5608164983165,9
2010-02-22,26.84891975308642,72.94097222222223,9
2010-02-23,27.010493827160495,72.3275462962963,9
2010-02-24,26.814313271604938,74.67515432098766,9
2010-02-25,24.341589506172838,87.72260802469135,9
2010-02-26,21.709066358024693,89.38271604938272,9
2010-02-27,22.135300925925925,83.10378086419753,9
2010-02-28,22.976697530864197,83.61805555555556,9
2010-03-01,20.44085144927536,92.42684849704777,9
2010-03-02,20.05181327160494,91.98379629629629,9
2010-03-03,21.75389660493827,90.50810185185185,9
2010-03-04,22.874487433862434,91.10345017636683,9
2010-03-05,23.408140432098765,86.49749228395062,9
2010-03-06,23.491473765432097,84.79012345679013,9
2010-03-07,23.203549382716048,85.52353395061728,9
2010-03-08,25.011149691358025,80.15612816764133,9
