modelo_id,macro_regiao,desfecho,exposicao,percentil,valor_exposicao,rr_cumulativo,ic95_inf,ic95_sup,p_ponto,p_fdr
baia_da_ilha_grande_internacoes_i60_i69_temp_med,Baia da Ilha Grande,internacoes_i60_i69,temp_med,5%,18.35,1.5584482875162884,1.0932551506876371,2.221586665596596,0.01417224585779272,0.09004395899240122
baia_da_ilha_grande_internacoes_i60_i69_temp_med,Baia da Ilha Grande,internacoes_i60_i69,temp_med,50%,22.827219202898547,1.203174299228757,0.9293634664584558,1.5576558005245436,0.16033914843913039,0.4849281562549309
baia_da_ilha_grande_internacoes_i60_i69_temp_med,Baia da Ilha Grande,internacoes_i60_i69,temp_med,95%,27.873749999999994,1.0389212092303364,0.9085350147715946,1.1880194614843482,0.5768106539922533,0.6978519070852667
baia_da_ilha_grande_internacoes_i60_i69_temp_med,Baia da Ilha Grande,internacoes_i60_i69,temp_med,99%,29.486895833333328,1.1577124435052084,0.8082388236763384,1.658294630973489,0.4244303138434965,0.6875771084264644
baia_da_ilha_grande_internacoes_i60_i69_ur_med,Baia da Ilha Grande,internacoes_i60_i69,ur_med,5%,69.68966131907308,1.0419488778008261,0.9643967921049633,1.1257373239294637,0.29773115512183096,0.44659673268274647
baia_da_ilha_grande_internacoes_i60_i69_ur_med,Baia da Ilha Grande,internacoes_i60_i69,ur_med,50%,81.375,1.217669339046114,0.8996428412376575,1.6481191771761259,0.2022447588963237,0.5156176675853763
baia_da_ilha_grande_internacoes_i60_i69_ur_med,Baia da Ilha Grande,internacoes_i60_i69,ur_med,95%,91.1875,1.3704899693782755,1.014884840826547,1.8506954489898382,0.03974717001030293,0.1946993933198632
baia_da_ilha_grande_internacoes_i60_i69_ur_med,Baia da Ilha Grande,internacoes_i60_i69,ur_med,99%,94.01187499999999,1.8954958824547197,1.0651014317387746,3.373298104141492,0.029673567007838506,0.18488914827960914
baia_da_ilha_grande_obitos_i60_i69_temp_med,Baia da Ilha Grande,obitos_i60_i69,temp_med,5%,18.35,1.5470520426399037,0.9318523498221317,2.568400480068688,0.09158886789997198,0.21773957274332958
baia_da_ilha_grande_obitos_i60_i69_temp_med,Baia da Ilha Grande,obitos_i60_i69,temp_med,50%,22.827219202898547,1.0361048030647966,0.9188190217100235,1.1683619271791026,0.5628207715074114,0.7454868748805438
baia_da_ilha_grande_obitos_i60_i69_temp_med,Baia da Ilha Grande,obitos_i60_i69,temp_med,95%,27.873749999999994,1.3409288502369727,0.9094133770567383,1.977197858269097,0.13868828306905073,0.35103583244395037
baia_da_ilha_grande_obitos_i60_i69_temp_med,Baia da Ilha Grande,obitos_i60_i69,temp_med,99%,29.486895833333328,1.66364178448081,0.9246454763594651,2.9932596414872,0.08940741348744552,0.2896800196993235
baia_da_ilha_grande_obitos_i60_i69_ur_med,Baia da Ilha Grande,obitos_i60_i69,ur_med,5%,69.68966131907308,1.6873479401487883,1.0426887268258873,2.7305781657307464,0.0331572045307862,0.1492074203885379
baia_da_ilha_grande_obitos_i60_i69_ur_med,Baia da Ilha Grande,obitos_i60_i69,ur_med,50%,81.375,1.2262688302245417,0.6265688949168856,2.399951954492948,0.5515851012769573,0.7454868748805438
baia_da_ilha_grande_obitos_i60_i69_ur_med,Baia da Ilha Grande,obitos_i60_i69,ur_med,95%,91.1875,1.331810849255321,0.6614320671535525,2.681636144173226,0.4223072042140451,0.5734671980494538
baia_da_ilha_grande_obitos_i60_i69_ur_med,Baia da Ilha Grande,obitos_i60_i69,ur_med,99%,94.01187499999999,1.1117204830010194,0.3778641408482581,3.270811645554742,0.8474630465972643,0.9610362484566499
baia_da_ilha_grande_internacoes_i60_i64_temp_med,Baia da Ilha Grande,internacoes_i60_i64,temp_med,5%,18.35,1.6800117922284061,1.1625070520480958,2.4278903229481053,0.0057543137351774775,0.06042029421936351
baia_da_ilha_grande_internacoes_i60_i64_temp_med,Baia da Ilha Grande,internacoes_i60_i64,temp_med,50%,22.827219202898547,1.227563935979257,0.9323210623835265,1.6163028786074882,0.14409585395370625,0.44907782626097853
baia_da_ilha_grande_internacoes_i60_i64_temp_med,Baia da Ilha Grande,internacoes_i60_i64,temp_med,95%,27.873749999999994,1.0238674853381733,0.9090744080870317,1.1531560213411634,0.6974517130022795,0.8062285856723598
baia_da_ilha_grande_internacoes_i60_i64_temp_med,Baia da Ilha Grande,internacoes_i60_i64,temp_med,99%,29.486895833333328,1.1177958910415984,0.783927935889654,1.5938552471809813,0.5384447516116665,0.8229061298216036
baia_da_ilha_grande_internacoes_i60_i64_ur_med,Baia da Ilha Grande,internacoes_i60_i64,ur_med,5%,69.68966131907308,1.0418914948424418,0.9622390016021025,1.1281374847804195,0.3118505598537025,0.4622725946066649
baia_da_ilha_grande_internacoes_i60_i64_ur_med,Baia da Ilha Grande,internacoes_i60_i64,ur_med,50%,81.375,1.2147595438446104,0.8894456169802845,1.6590567441002695,0.22121993020418598,0.5156176675853763
baia_da_ilha_grande_internacoes_i60_i64_ur_med,Baia da Ilha Grande,internacoes_i60_i64,ur_med,95%,91.1875,1.4428152320424388,1.0605890996569143,1.9627919940786518,0.019565762757178154,0.1369603393002471
baia_da_ilha_grande_internacoes_i60_i64_ur_med,Baia da Ilha Grande,internacoes_i60_i64,ur_med,99%,94.01187499999999,2.0021404598842842,1.1093393108648177,3.6134718943482302,0.021200018131191645,0.1431001223855436
baia_da_ilha_grande_obitos_i60_i64_temp_med,Baia da Ilha Grande,obitos_i60_i64,temp_med,5%,18.35,1.6319592935212344,0.8606396350223074,3.0945485512543183,0.1335485662684923,0.28520541270898353
baia_da_ilha_grande_obitos_i60_i64_temp_med,Baia da Ilha Grande,obitos_i60_i64,temp_med,50%,22.827219202898547,1.072380676896548,0.8618256284147149,1.3343770227586138,0.5309212215318426,0.7454868748805438
baia_da_ilha_grande_obitos_i60_i64_temp_med,Baia da Ilha Grande,obitos_i60_i64,temp_med,95%,27.873749999999994,1.2254260726267605,0.7756947437250827,1.9359020692367352,0.3835831135799992,0.5619938640823243
baia_da_ilha_grande_obitos_i60_i64_temp_med,Baia da Ilha Grande,obitos_i60_i64,temp_med,99%,29.486895833333328,1.4164900565959804,0.6650288288473595,3.0170783481866343,0.3667648222732274,0.6062847062067637
baia_da_ilha_grande_obitos_i60_i64_ur_med,Baia da Ilha Grande,obitos_i60_i64,ur_med,5%,69.68966131907308,1.916597933654661,0.9980635463566163,3.6804747079469013,0.05068447554916003,0.1878307035057107
baia_da_ilha_grande_obitos_i60_i64_ur_med,Baia da Ilha Grande,obitos_i60_i64,ur_med,50%,81.375,1.2497973442693444,0.5178048626686218,3.016567657732351,0.6199016368364725,0.7728105277180108
baia_da_ilha_grande_obitos_i60_i64_ur_med,Baia da Ilha Grande,obitos_i60_i64,ur_med,95%,91.1875,1.5338851717316468,0.6062459799410459,3.8809390872777763,0.36638336148077694,0.5495750422211654
baia_da_ilha_grande_obitos_i60_i64_ur_med,Baia da Ilha Grande,obitos_i60_i64,ur_med,99%,94.01187499999999,1.3835450037045307,0.3392388521278301,5.642622492291869,0.6507954667381659,0.8882120828706543
baia_da_ilha_grande_internacoes_i60_i62_temp_med,Baia da Ilha Grande,internacoes_i60_i62,temp_med,5%,18.35,2.7660364727801308,1.059841004279496,7.218967503480622,0.03764417499138912,0.1581055349638343
baia_da_ilha_grande_internacoes_i60_i62_temp_med,Baia da Ilha Grande,internacoes_i60_i62,temp_med,50%,22.827219202898547,1.5849103482597162,0.7734619583842428,3.2476591573658817,0.2083310475259588,0.5156176675853763
baia_da_ilha_grande_internacoes_i60_i62_temp_med,Baia da Ilha Grande,internacoes_i60_i62,temp_med,95%,27.873749999999994,1.165117143789388,0.7583524473209845,1.790062079376872,0.4854922625026761,0.617899243185224
baia_da_ilha_grande_internacoes_i60_i62_temp_med,Baia da Ilha Grande,internacoes_i60_i62,temp_med,99%,29.486895833333328,1.697722784179693,0.5587412774893558,5.158492432980766,0.35059265573813186,0.6062847062067637
baia_da_ilha_grande_internacoes_i60_i62_ur_med,Baia da Ilha Grande,internacoes_i60_i62,ur_med,5%,69.68966131907308,1.0692432542109882,0.6443121878113545,1.7744210932270001,0.795585907481178,0.8495239351070206
baia_da_ilha_grande_internacoes_i60_i62_ur_med,Baia da Ilha Grande,internacoes_i60_i62,ur_med,50%,81.375,1.0696851991732468,0.6354052203482461,1.8007822231979667,0.7998898540878547,0.9016940173353998
baia_da_ilha_grande_internacoes_i60_i62_ur_med,Baia da Ilha Grande,internacoes_i60_i62,ur_med,95%,91.1875,1.6159823746895354,0.7786830692238699,3.3536096244009355,0.19759831645955825,0.4129759107739832
baia_da_ilha_grande_internacoes_i60_i62_ur_med,Baia da Ilha Grande,internacoes_i60_i62,ur_med,99%,94.01187499999999,1.685616916960351,0.4152699287403903,6.84206631421941,0.46510239318196456,0.7260329180060713
baia_da_ilha_grande_obitos_i60_i62_temp_med,Baia da Ilha Grande,obitos_i60_i62,temp_med,5%,18.35,1.4907623057182393,0.654348574919419,3.39631251191162,0.3418921349751473,0.48952737507805183
baia_da_ilha_grande_obitos_i60_i62_temp_med,Baia da Ilha Grande,obitos_i60_i62,temp_med,50%,22.827219202898547,1.72706047697936,0.44509550846098184,6.701343496944428,0.4296077896227004,0.719883323151552
baia_da_ilha_grande_obitos_i60_i62_temp_med,Baia da Ilha Grande,obitos_i60_i62,temp_med,95%,27.873749999999994,1.9770488753010134,0.3909456978246647,9.998120652249833,0.4098031057096564,0.5734671980494538
baia_da_ilha_grande_obitos_i60_i62_temp_med,Baia da Ilha Grande,obitos_i60_i62,temp_med,99%,29.486895833333328,1.5530358337802492,0.22125391430931327,10.901141833059937,0.6579348762004846,0.8882120828706543
baia_da_ilha_grande_obitos_i60_i62_ur_med,Baia da Ilha Grande,obitos_i60_i62,ur_med,5%,69.68966131907308,1.9189339433474464,0.6228452464059638,5.912074468223351,0.25625890147129426,0.41830033880911716
baia_da_ilha_grande_obitos_i60_i62_ur_med,Baia da Ilha Grande,obitos_i60_i62,ur_med,50%,81.375,1.5869975521523316,0.33280807200652324,7.567608608027173,0.5622522089998748,0.7454868748805438
baia_da_ilha_grande_obitos_i60_i62_ur_med,Baia da Ilha Grande,obitos_i60_i62,ur_med,95%,91.1875,2.7671800559979323,0.5534086924020929,13.836583283641534,0.21517228764065358,0.4248299933379497
baia_da_ilha_grande_obitos_i60_i62_ur_med,Baia da Ilha Grande,obitos_i60_i62,ur_med,99%,94.01187499999999,4.039977222354718,0.38518581469906726,42.372837561259416,0.24427476335167947,0.4825916056460009
baia_da_ilha_grande_internacoes_i63_temp_med,Baia da Ilha Grande,internacoes_i63,temp_med,5%,18.35,1.789890567107188,0.4208112821588244,7.613170981975084,0.43061820991750477,0.5573092120899436
baia_da_ilha_grande_internacoes_i63_temp_med,Baia da Ilha Grande,internacoes_i63,temp_med,50%,22.827219202898547,4.2057860068864175,1.3092387034076012,13.510627122222068,0.015843998206691398,0.16372131480247779
baia_da_ilha_grande_internacoes_i63_temp_med,Baia da Ilha Grande,internacoes_i63,temp_med,95%,27.873749999999994,1.0007127960513176,0.9421636898804611,1.0629003334950256,0.9815190933675968,1
baia_da_ilha_grande_internacoes_i63_temp_med,Baia da Ilha Grande,internacoes_i63,temp_med,99%,29.486895833333328,1.1369464028641663,0.5792493906148534,2.2315899575028753,0.7091326294222096,0.89882135154156
baia_da_ilha_grande_internacoes_i63_ur_med,Baia da Ilha Grande,internacoes_i63,ur_med,5%,69.68966131907308,1.2926342950586402,0.41609829227151446,4.0156459466347485,0.657165806800754,0.7442790343997551
baia_da_ilha_grande_internacoes_i63_ur_med,Baia da Ilha Grande,internacoes_i63,ur_med,50%,81.375,1.040963861636202,0.8249997449936324,1.3134619347560135,0.7350543333093831,0.8428634451931366
baia_da_ilha_grande_internacoes_i63_ur_med,Baia da Ilha Grande,internacoes_i63,ur_med,95%,91.1875,2.3400555796006888,0.7017877408023856,7.802729795991472,0.16646984970237655,0.38136729204544445
baia_da_ilha_grande_internacoes_i63_ur_med,Baia da Ilha Grande,internacoes_i63,ur_med,99%,94.01187499999999,2.7186301658961476,0.32226297050857,22.934530663751715,0.3579892891797606,0.6062847062067637
baia_da_ilha_grande_obitos_i63_temp_med,Baia da Ilha Grande,obitos_i63,temp_med,5%,18.35,9235765238139897e209,11768827876874387e207,7247906114902535e211,0,0
baia_da_ilha_grande_obitos_i63_temp_med,Baia da Ilha Grande,obitos_i63,temp_med,50%,22.827219202898547,157379.45025996485,91062.16205388936,271993.2275435237,0,0
baia_da_ilha_grande_obitos_i63_temp_med,Baia da Ilha Grande,obitos_i63,temp_med,95%,27.873749999999994,5870221767647406e101,4227955736597037e100,8150393653150429e102,0,0
baia_da_ilha_grande_obitos_i63_temp_med,Baia da Ilha Grande,obitos_i63,temp_med,99%,29.486895833333328,23451938062114026e158,4268714309975026e157,1288428690540432e161,0,0
baia_da_ilha_grande_obitos_i63_ur_med,Baia da Ilha Grande,obitos_i63,ur_med,5%,69.68966131907308,1195373676576671e238,0,Inf,1,1
baia_da_ilha_grande_obitos_i63_ur_med,Baia da Ilha Grande,obitos_i63,ur_med,50%,81.375,4646399.886425976,0,Inf,1,1
baia_da_ilha_grande_obitos_i63_ur_med,Baia da Ilha Grande,obitos_i63,ur_med,95%,91.1875,26273139187409814e195,0,Inf,1,1
baia_da_ilha_grande_obitos_i63_ur_med,Baia da Ilha Grande,obitos_i63,ur_med,99%,94.01187499999999,13673531794998297e115,0,Inf,1,1
baixada_litoranea_internacoes_i60_i69_temp_med,Baixada Litoranea,internacoes_i60_i69,temp_med,5%,19.492291666666667,1.193010008493113,0.9549182530559492,1.490465676836682,0.12022832636418289,0.28053276151642675
baixada_litoranea_internacoes_i60_i69_temp_med,Baixada Litoranea,internacoes_i60_i69,temp_med,50%,23.183333333333334,1.1058093575936343,0.9331795647579767,1.3103741032507363,0.24548429060486945,0.5435723577679252
baixada_litoranea_internacoes_i60_i69_temp_med,Baixada Litoranea,internacoes_i60_i69,temp_med,95%,26.961308400076277,1.1204831670459146,0.9671369538301678,1.298143476641168,0.12978079692826655,0.3406745919366997
baixada_litoranea_internacoes_i60_i69_temp_med,Baixada Litoranea,internacoes_i60_i69,temp_med,99%,27.885071078431366,1.2756600265263667,0.9682381072989485,1.6806904118005455,0.08353425901789767,0.2896800196993235
baixada_litoranea_internacoes_i60_i69_ur_med,Baixada Litoranea,internacoes_i60_i69,ur_med,5%,66.41934523809525,1.2269253033080103,1.0130259564748034,1.4859892683656961,0.0364051453776389,0.1581055349638343
baixada_litoranea_internacoes_i60_i69_ur_med,Baixada Litoranea,internacoes_i60_i69,ur_med,50%,80.08333333333333,1.0502780820388533,0.9093140162716223,1.2130947394103606,0.5046919507257072,0.7454868748805438
baixada_litoranea_internacoes_i60_i69_ur_med,Baixada Litoranea,internacoes_i60_i69,ur_med,95%,89.26154891304348,1.0990397554051483,0.9194905404385824,1.3136496035999075,0.2994206776550455,0.49593386304644865
baixada_litoranea_internacoes_i60_i69_ur_med,Baixada Litoranea,internacoes_i60_i69,ur_med,99%,92.63687499999999,1.2728616974907212,0.8261397253785007,1.9611415008480153,0.2739706394475908,0.5159396577336749
baixada_litoranea_obitos_i60_i69_temp_med,Baixada Litoranea,obitos_i60_i69,temp_med,5%,19.492291666666667,1.371134161583038,1.069760894040418,1.7574103704233832,0.01268568304945234,0.09004395899240122
baixada_litoranea_obitos_i60_i69_temp_med,Baixada Litoranea,obitos_i60_i69,temp_med,50%,23.183333333333334,1.0084309415214792,0.9752131146141869,1.0427802380613134,0.623234296546783,0.7728105277180108
baixada_litoranea_obitos_i60_i69_temp_med,Baixada Litoranea,obitos_i60_i69,temp_med,95%,26.961308400076277,1.11336865305466,0.8389841127417231,1.4774889521493826,0.45695469812177597,0.599753041284831
baixada_litoranea_obitos_i60_i69_temp_med,Baixada Litoranea,obitos_i60_i69,temp_med,99%,27.885071078431366,1.124969893653358,0.7237505297410248,1.748609789728644,0.6007830897631407,0.853744390716042
baixada_litoranea_obitos_i60_i69_ur_med,Baixada Litoranea,obitos_i60_i69,ur_med,5%,66.41934523809525,1.361400965712815,1.0630818110979825,1.7434336380278441,0.014497374180477971,0.09004395899240122
baixada_litoranea_obitos_i60_i69_ur_med,Baixada Litoranea,obitos_i60_i69,ur_med,50%,80.08333333333333,1.0692020707343464,0.8926164841380633,1.2807214390248631,0.46751465916058227,0.7415103085444045
baixada_litoranea_obitos_i60_i69_ur_med,Baixada Litoranea,obitos_i60_i69,ur_med,95%,89.26154891304348,1.2448279306746874,1.0161041374869304,1.5250371687496018,0.034498672001602455,0.19414450876339046
baixada_litoranea_obitos_i60_i69_ur_med,Baixada Litoranea,obitos_i60_i69,ur_med,99%,92.63687499999999,1.6900508724623626,1.0390344443100206,2.7489675314926876,0.03449468320171701,0.18627128928927186
baixada_litoranea_internacoes_i60_i64_temp_med,Baixada Litoranea,internacoes_i60_i64,temp_med,5%,19.492291666666667,1.2252065463760122,0.9776206971057476,1.5354943749930248,0.07782405185165969,0.19722294957656858
baixada_litoranea_internacoes_i60_i64_temp_med,Baixada Litoranea,internacoes_i60_i64,temp_med,50%,23.183333333333334,1.0887612209781032,0.9215925888028867,1.2862527441171379,0.3173574266811764,0.6246400144200932
baixada_litoranea_internacoes_i60_i64_temp_med,Baixada Litoranea,internacoes_i60_i64,temp_med,95%,26.961308400076277,1.0990692664190416,0.9395535660738205,1.2856672530493931,0.23773462431666847,0.4435493880172334
baixada_litoranea_internacoes_i60_i64_temp_med,Baixada Litoranea,internacoes_i60_i64,temp_med,99%,27.885071078431366,1.221080666312696,0.9164019632646005,1.6270567430158784,0.1726134439068022,0.37788348530948584
baixada_litoranea_internacoes_i60_i64_ur_med,Baixada Litoranea,internacoes_i60_i64,ur_med,5%,66.41934523809525,1.2422676290596588,1.020218440027964,1.5126455292919492,0.030835347164073525,0.14389828676567645
baixada_litoranea_internacoes_i60_i64_ur_med,Baixada Litoranea,internacoes_i60_i64,ur_med,50%,80.08333333333333,1.056945892771817,0.91151704024462,1.2255773297967225,0.46337385531838127,0.7415103085444045
baixada_litoranea_internacoes_i60_i64_ur_med,Baixada Litoranea,internacoes_i60_i64,ur_med,95%,89.26154891304348,1.1264604462007626,0.937687250361218,1.353237058908509,0.20321036879354729,0.4129759107739832
baixada_litoranea_internacoes_i60_i64_ur_med,Baixada Litoranea,internacoes_i60_i64,ur_med,99%,92.63687499999999,1.350328310579572,0.8656132720042728,2.106467871190035,0.1855518980252271,0.38537701897547166
baixada_litoranea_obitos_i60_i64_temp_med,Baixada Litoranea,obitos_i60_i64,temp_med,5%,19.492291666666667,1.4505169973460807,0.7822632405977773,2.689631124660913,0.23779496579382203,0.4048941309462375
baixada_litoranea_obitos_i60_i64_temp_med,Baixada Litoranea,obitos_i60_i64,temp_med,50%,23.183333333333334,1.0274497321499443,0.5926233984786032,1.781321754768862,0.923161434511906,0.9701018464362403
baixada_litoranea_obitos_i60_i64_temp_med,Baixada Litoranea,obitos_i60_i64,temp_med,95%,26.961308400076277,1.0663844415106034,0.8067225603631176,1.4096243652638427,0.6516712056759058,0.7634519806078867
baixada_litoranea_obitos_i60_i64_temp_med,Baixada Litoranea,obitos_i60_i64,temp_med,99%,27.885071078431366,1,1,1,,
baixada_litoranea_obitos_i60_i64_ur_med,Baixada Litoranea,obitos_i60_i64,ur_med,5%,66.41934523809525,1.4541558851589198,1.0659056884128604,1.9838240487213532,0.01814167100111211,0.09938480635391851
baixada_litoranea_obitos_i60_i64_ur_med,Baixada Litoranea,obitos_i60_i64,ur_med,50%,80.08333333333333,1.106335691674886,0.8798432219512956,1.391132683797049,0.3872309350427838,0.6958932745696405
baixada_litoranea_obitos_i60_i64_ur_med,Baixada Litoranea,obitos_i60_i64,ur_med,95%,89.26154891304348,1.4004830451820773,1.082353413706426,1.8121186065519774,0.010410057692436055,0.10930560577057857
baixada_litoranea_obitos_i60_i64_ur_med,Baixada Litoranea,obitos_i60_i64,ur_med,99%,92.63687499999999,2.2491448214003174,1.2147079203380788,4.1645010647694924,0.009914955124631053,0.08031113650951154
baixada_litoranea_internacoes_i60_i62_temp_med,Baixada Litoranea,internacoes_i60_i62,temp_med,5%,19.492291666666667,1.3971202554117117,0.5767969376838671,3.384111253987821,0.4587679920322504,0.5612113300588694
