desfecho,macro_regiao,sexo_padronizado,faixa_etaria,cid_grupo,eventos
internacoes,Centro-Sul,Masculino,65-79,I65-I69 outras/sequelas,336
internacoes,Centro-Sul,Masculino,50-64,I65-I69 outras/sequelas,316
internacoes,Centro-Sul,Feminino,50-64,I60-I62 hemorragicas,198
internacoes,Centro-Sul,Masculino,50-64,I60-I62 hemorragicas,198
internacoes,Centro-Sul,Feminino,0-49,I60-I62 hemorragicas,187
internacoes,Centro-Sul,Masculino,65-79,I60-I62 hemorragicas,179
internacoes,Centro-Sul,Feminino,65-79,I60-I62 hemorragicas,152
internacoes,Centro-Sul,Masculino,0-49,I60-I62 hemorragicas,139
internacoes,Centro-Sul,Feminino,65-79,I65-I69 outras/sequelas,123
internacoes,Centro-Sul,Feminino,50-64,I65-I69 outras/sequelas,96
internacoes,Centro-Sul,Masculino,80+,I65-I69 outras/sequelas,93
internacoes,Centro-Sul,Feminino,0-49,I65-I69 outras/sequelas,65
internacoes,Centro-Sul,Feminino,80+,I65-I69 outras/sequelas,64
internacoes,Centro-Sul,Masculino,80+,I60-I62 hemorragicas,64
internacoes,Centro-Sul,Feminino,80+,I60-I62 hemorragicas,57
internacoes,Centro-Sul,Masculino,65-79,I63 isquemico,52
internacoes,Centro-Sul,Masculino,0-49,I65-I69 outras/sequelas,44
internacoes,Centro-Sul,Feminino,65-79,I63 isquemico,40
internacoes,Centro-Sul,Masculino,50-64,I63 isquemico,31
internacoes,Centro-Sul,Feminino,50-64,I63 isquemico,27
internacoes,Centro-Sul,Feminino,80+,I63 isquemico,27
internacoes,Centro-Sul,Feminino,0-49,I63 isquemico,17
internacoes,Centro-Sul,Masculino,80+,I63 isquemico,15
internacoes,Centro-Sul,Masculino,0-49,I63 isquemico,11
internacoes,Medio Paraiba,Masculino,65-79,I64 AVC nao especificado,3606
internacoes,Medio Paraiba,Feminino,65-79,I64 AVC nao especificado,3101
internacoes,Medio Paraiba,Masculino,50-64,I64 AVC nao especificado,2730
internacoes,Medio Paraiba,Feminino,50-64,I64 AVC nao especificado,2046
internacoes,Medio Paraiba,Masculino,65-79,I65-I69 outras/sequelas,1860
internacoes,Medio Paraiba,Feminino,80+,I64 AVC nao especificado,1635
internacoes,Medio Paraiba,Feminino,80+,I65-I69 outras/sequelas,1403
internacoes,Medio Paraiba,Masculino,80+,I64 AVC nao especificado,1067
internacoes,Medio Paraiba,Masculino,50-64,I65-I69 outras/sequelas,948
internacoes,Medio Paraiba,Feminino,65-79,I65-I69 outras/sequelas,946
internacoes,Medio Paraiba,Masculino,80+,I65-I69 outras/sequelas,909
internacoes,Medio Paraiba,Feminino,0-49,I64 AVC nao especificado,890
internacoes,Medio Paraiba,Masculino,0-49,I64 AVC nao especificado,791
internacoes,Medio Paraiba,Feminino,50-64,I65-I69 outras/sequelas,784
internacoes,Medio Paraiba,Masculino,65-79,I60-I62 hemorragicas,621
internacoes,Medio Paraiba,Masculino,50-64,I60-I62 hemorragicas,587
internacoes,Medio Paraiba,Feminino,50-64,I60-I62 hemorragicas,565
internacoes,Medio Paraiba,Feminino,65-79,I60-I62 hemorragicas,560
internacoes,Medio Paraiba,Feminino,0-49,I60-I62 hemorragicas,444
