desfecho,macro_regiao,sexo_padronizado,faixa_etaria,cid_grupo,eventos
obitos,Centro-Sul,Feminino,65-79,I63 isquemico,6
obitos,Centro-Sul,Feminino,,I65-I69 outras/sequelas,5
obitos,Centro-Sul,Feminino,80+,I63 isquemico,4
obitos,Centro-Sul,Feminino,0-49,I63 isquemico,3
obitos,Centro-Sul,Masculino,50-64,I63 isquemico,3
obitos,Centro-Sul,Masculino,80+,I63 isquemico,3
obitos,Centro-Sul,Feminino,50-64,I63 isquemico,2
obitos,Centro-Sul,Masculino,,I64 AVC nao especificado,2
obitos,Centro-Sul,Masculino,,I65-I69 outras/sequelas,2
obitos,Centro-Sul,Feminino,,I63 isquemico,1
obitos,Medio Paraiba,Masculino,65-79,I65-I69 outras/sequelas,846
obitos,Medio Paraiba,Feminino,80+,I65-I69 outras/sequelas,788
obitos,Medio Paraiba,Feminino,65-79,I65-I69 outras/sequelas,694
obitos,Medio Paraiba,Masculino,65-79,I64 AVC nao especificado,669
obitos,Medio Paraiba,Feminino,80+,I64 AVC nao especificado,615
obitos,Medio Paraiba,Feminino,65-79,I64 AVC nao especificado,533
obitos,Medio Paraiba,Masculino,80+,I65-I69 outras/sequelas,506
obitos,Medio Paraiba,Masculino,80+,I64 AVC nao especificado,429
obitos,Medio Paraiba,Masculino,50-64,I65-I69 outras/sequelas,408
obitos,Medio Paraiba,Masculino,65-79,I60-I62 hemorragicas,357
obitos,Medio Paraiba,Feminino,65-79,I60-I62 hemorragicas,355
obitos,Medio Paraiba,Masculino,50-64,I60-I62 hemorragicas,348
obitos,Medio Paraiba,Masculino,50-64,I64 AVC nao especificado,322
obitos,Medio Paraiba,Feminino,50-64,I60-I62 hemorragicas,280
obitos,Medio Paraiba,Feminino,80+,I60-I62 hemorragicas,276
obitos,Medio Paraiba,Feminino,50-64,I65-I69 outras/sequelas,266
obitos,Medio Paraiba,Feminino,50-64,I64 AVC nao especificado,205
obitos,Medio Paraiba,Masculino,80+,I60-I62 hemorragicas,189
obitos,Medio Paraiba,Masculino,0-49,I60-I62 hemorragicas,167
obitos,Medio Paraiba,Feminino,0-49,I60-I62 hemorragicas,157
obitos,Medio Paraiba,Feminino,0-49,I64 AVC nao especificado,72
obitos,Medio Paraiba,Masculino,0-49,I64 AVC nao especificado,67
obitos,Medio Paraiba,Masculino,0-49,I65-I69 outras/sequelas,66
obitos,Medio Paraiba,Feminino,0-49,I65-I69 outras/sequelas,64
obitos,Medio Paraiba,Masculino,65-79,I63 isquemico,15
obitos,Medio Paraiba,Feminino,65-79,I63 isquemico,11
obitos,Medio Paraiba,Feminino,80+,I63 isquemico,11
obitos,Medio Paraiba,Masculino,,I64 AVC nao especificado,11
obitos,Medio Paraiba,Feminino,,I64 AVC nao especificado,10
obitos,Medio Paraiba,Feminino,,I65-I69 outras/sequelas,8
obitos,Medio Paraiba,Feminino,0-49,I63 isquemico,7
obitos,Medio Paraiba,Masculino,,I65-I69 outras/sequelas,7
obitos,Medio Paraiba,Masculino,0-49,I63 isquemico,6
obitos,Medio Paraiba,Feminino,50-64,I63 isquemico,5
obitos,Medio Paraiba,Masculino,80+,I63 isquemico,5
obitos,Medio Paraiba,Masculino,50-64,I63 isquemico,3
obitos,Medio Paraiba,Masculino,,I60-I62 hemorragicas,3
obitos,Medio Paraiba,Feminino,,I60-I62 hemorragicas,2
obitos,Metropolitana I,Feminino,80+,I64 AVC nao especificado,7810
obitos,Metropolitana I,Masculino,65-79,I64 AVC nao especificado,7406
obitos,Metropolitana I,Feminino,80+,I65-I69 outras/sequelas,7289
obitos,Metropolitana I,Feminino,65-79,I64 AVC nao especificado,6872
obitos,Metropolitana I,Masculino,65-79,I65-I69 outras/sequelas,6458
obitos,Metropolitana I,Feminino,65-79,I65-I69 outras/sequelas,6018
obitos,Metropolitana I,Masculino,80+,I64 AVC nao especificado,4254
obitos,Metropolitana I,Masculino,50-64,I64 AVC nao especificado,3993
obitos,Metropolitana I,Masculino,80+,I65-I69 outras/sequelas,3687
obitos,Metropolitana I,Masculino,65-79,I60-I62 hemorragicas,3637
obitos,Metropolitana I,Masculino,50-64,I60-I62 hemorragicas,3598
obitos,Metropolitana I,Feminino,65-79,I60-I62 hemorragicas,3594
obitos,Metropolitana I,Feminino,80+,I60-I62 hemorragicas,3228
obitos,Metropolitana I,Feminino,50-64,I60-I62 hemorragicas,3118
obitos,Metropolitana I,Masculino,50-64,I65-I69 outras/sequelas,3110
obitos,Metropolitana I,Feminino,50-64,I64 AVC nao especificado,3014
obitos,Metropolitana I,Feminino,50-64,I65-I69 outras/sequelas,2305
obitos,Metropolitana I,Feminino,0-49,I60-I62 hemorragicas,2064
obitos,Metropolitana I,Masculino,80+,I60-I62 hemorragicas,1941
obitos,Metropolitana I,Masculino,0-49,I60-I62 hemorragicas,1836
obitos,Metropolitana I,Masculino,0-49,I64 AVC nao especificado,831
obitos,Metropolitana I,Feminino,0-49,I65-I69 outras/sequelas,774
obitos,Metropolitana I,Feminino,0-49,I64 AVC nao especificado,773
obitos,Metropolitana I,Masculino,0-49,I65-I69 outras/sequelas,626
obitos,Metropolitana I,Feminino,,I64 AVC nao especificado,148
obitos,Metropolitana I,Feminino,,I65-I69 outras/sequelas,110
obitos,Metropolitana I,Feminino,80+,I63 isquemico,108
obitos,Metropolitana I,Feminino,65-79,I63 isquemico,93
obitos,Metropolitana I,Masculino,65-79,I63 isquemico,90
obitos,Metropolitana I,Masculino,80+,I63 isquemico,68
obitos,Metropolitana I,Masculino,50-64,I63 isquemico,63
obitos,Metropolitana I,Feminino,50-64,I63 isquemico,42
obitos,Metropolitana I,Masculino,,I64 AVC nao especificado,34
obitos,Metropolitana I,Feminino,0-49,I63 isquemico,33
obitos,Metropolitana I,Feminino,,I60-I62 hemorragicas,31
obitos,Metropolitana I,Masculino,,I65-I69 outras/sequelas,29
obitos,Metropolitana I,Masculino,0-49,I63 isquemico,24
obitos,Metropolitana I,Masculino,,I60-I62 hemorragicas,20
obitos,Metropolitana I,Ignorado/ausente,65-79,I60-I62 hemorragicas,3
obitos,Metropolitana I,Feminino,,I63 isquemico,1
obitos,Metropolitana I,Ignorado/ausente,65-79,I64 AVC nao especificado,1
obitos,Metropolitana I,Ignorado/ausente,80+,I64 AVC nao especificado,1
obitos,Metropolitana II,Masculino,65-79,I65-I69 outras/sequelas,1692
obitos,Metropolitana II,Feminino,80+,I65-I69 outras/sequelas,1611
obitos,Metropolitana II,Masculino,65-79,I64 AVC nao especificado,1396
obitos,Metropolitana II,Feminino,65-79,I65-I69 outras/sequelas,1368
obitos,Metropolitana II,Feminino,80+,I64 AVC nao especificado,1361
obitos,Metropolitana II,Feminino,65-79,I64 AVC nao especificado,1084
obitos,Metropolitana II,Masculino,80+,I65-I69 outras/sequelas,947
obitos,Metropolitana II,Masculino,50-64,I65-I69 outras/sequelas,770
obitos,Metropolitana II,Masculino,80+,I64 AVC nao especificado,746
obitos,Metropolitana II,Feminino,65-79,I60-I62 hemorragicas,705
obitos,Metropolitana II,Masculino,50-64,I60-I62 hemorragicas,698
obitos,Metropolitana II,Masculino,65-79,I60-I62 hemorragicas,692
obitos,Metropolitana II,Masculino,50-64,I64 AVC nao especificado,665
obitos,Metropolitana II,Feminino,50-64,I60-I62 hemorragicas,608
obitos,Metropolitana II,Feminino,80+,I60-I62 hemorragicas,590
obitos,Metropolitana II,Feminino,50-64,I65-I69 outras/sequelas,503
obitos,Metropolitana II,Feminino,50-64,I64 AVC nao especificado,472
obitos,Metropolitana II,Masculino,80+,I60-I62 hemorragicas,380
obitos,Metropolitana II,Feminino,0-49,I60-I62 hemorragicas,319
obitos,Metropolitana II,Masculino,0-49,I60-I62 hemorragicas,318
obitos,Metropolitana II,Masculino,0-49,I65-I69 outras/sequelas,126
obitos,Metropolitana II,Masculino,0-49,I64 AVC nao especificado,122
obitos,Metropolitana II,Feminino,0-49,I65-I69 outras/sequelas,120
obitos,Metropolitana II,Feminino,0-49,I64 AVC nao especificado,99
obitos,Metropolitana II,Feminino,65-79,I63 isquemico,98
obitos,Metropolitana II,Masculino,65-79,I63 isquemico,96
obitos,Metropolitana II,Masculino,50-64,I63 isquemico,77
obitos,Metropolitana II,Feminino,80+,I63 isquemico,61
obitos,Metropolitana II,Masculino,80+,I63 isquemico,52
obitos,Metropolitana II,Feminino,50-64,I63 isquemico,46
obitos,Metropolitana II,Feminino,,I65-I69 outras/sequelas,27
obitos,Metropolitana II,Feminino,,I64 AVC nao especificado,18
obitos,Metropolitana II,Masculino,0-49,I63 isquemico,16
obitos,Metropolitana II,Feminino,0-49,I63 isquemico,15
obitos,Metropolitana II,Masculino,,I64 AVC nao especificado,14
obitos,Metropolitana II,Masculino,,I60-I62 hemorragicas,5
obitos,Metropolitana II,Feminino,,I60-I62 hemorragicas,4
obitos,Metropolitana II,Masculino,,I65-I69 outras/sequelas,4
obitos,Metropolitana II,Feminino,,I63 isquemico,1
obitos,Noroeste,Masculino,65-79,I65-I69 outras/sequelas,319
obitos,Noroeste,Feminino,80+,I65-I69 outras/sequelas,269
obitos,Noroeste,Masculino,80+,I65-I69 outras/sequelas,268
obitos,Noroeste,Masculino,65-79,I64 AVC nao especificado,266
obitos,Noroeste,Feminino,80+,I64 AVC nao especificado,241
obitos,Noroeste,Feminino,65-79,I65-I69 outras/sequelas,221
obitos,Noroeste,Masculino,80+,I64 AVC nao especificado,213
obitos,Noroeste,Feminino,65-79,I64 AVC nao especificado,173
obitos,Noroeste,Masculino,50-64,I65-I69 outras/sequelas,149
obitos,Noroeste,Masculino,65-79,I60-I62 hemorragicas,148
obitos,Noroeste,Masculino,50-64,I60-I62 hemorragicas,123
obitos,Noroeste,Masculino,50-64,I64 AVC nao especificado,121
obitos,Noroeste,Feminino,65-79,I60-I62 hemorragicas,118
obitos,Noroeste,Feminino,50-64,I60-I62 hemorragicas,103
obitos,Noroeste,Feminino,50-64,I65-I69 outras/sequelas,92
obitos,Noroeste,Masculino,80+,I60-I62 hemorragicas,90
obitos,Noroeste,Feminino,80+,I60-I62 hemorragicas,86
obitos,Noroeste,Feminino,50-64,I64 AVC nao especificado,67
obitos,Noroeste,Masculino,0-49,I60-I62 hemorragicas,66
obitos,Noroeste,Feminino,0-49,I60-I62 hemorragicas,58
obitos,Noroeste,Feminino,0-49,I65-I69 outras/sequelas,25
obitos,Noroeste,Masculino,0-49,I65-I69 outras/sequelas,23
obitos,Noroeste,Masculino,0-49,I64 AVC nao especificado,22
obitos,Noroeste,Feminino,0-49,I64 AVC nao especificado,18
obitos,Noroeste,Feminino,,I64 AVC nao especificado,11
obitos,Noroeste,Feminino,65-79,I63 isquemico,6
obitos,Noroeste,Masculino,65-79,I63 isquemico,6
obitos,Noroeste,Feminino,,I60-I62 hemorragicas,4
obitos,Noroeste,Masculino,80+,I63 isquemico,4
obitos,Noroeste,Masculino,50-64,I63 isquemico,3
obitos,Noroeste,Masculino,,I64 AVC nao especificado,3
obitos,Noroeste,Feminino,50-64,I63 isquemico,2
obitos,Noroeste,Feminino,,I65-I69 outras/sequelas,2
obitos,Noroeste,Masculino,,I60-I62 hemorragicas,2
obitos,Noroeste,Masculino,,I65-I69 outras/sequelas,2
obitos,Noroeste,Feminino,0-49,I63 isquemico,1
obitos,Noroeste,Feminino,80+,I63 isquemico,1
obitos,Norte,Masculino,65-79,I65-I69 outras/sequelas,756
obitos,Norte,Feminino,80+,I65-I69 outras/sequelas,693
obitos,Norte,Feminino,65-79,I65-I69 outras/sequelas,605
obitos,Norte,Masculino,65-79,I64 AVC nao especificado,583
obitos,Norte,Masculino,80+,I65-I69 outras/sequelas,508
obitos,Norte,Feminino,80+,I64 AVC nao especificado,454
obitos,Norte,Feminino,65-79,I64 AVC nao especificado,430
obitos,Norte,Masculino,50-64,I65-I69 outras/sequelas,379
obitos,Norte,Masculino,80+,I64 AVC nao especificado,352
obitos,Norte,Masculino,65-79,I60-I62 hemorragicas,331
obitos,Norte,Masculino,50-64,I60-I62 hemorragicas,325
obitos,Norte,Feminino,65-79,I60-I62 hemorragicas,293
obitos,Norte,Masculino,50-64,I64 AVC nao especificado,280
obitos,Norte,Feminino,50-64,I60-I62 hemorragicas,277
obitos,Norte,Feminino,50-64,I65-I69 outras/sequelas,237
obitos,Norte,Feminino,80+,I60-I62 hemorragicas,213
obitos,Norte,Masculino,0-49,I60-I62 hemorragicas,190
obitos,Norte,Feminino,0-49,I60-I62 hemorragicas,186
obitos,Norte,Feminino,50-64,I64 AVC nao especificado,163
obitos,Norte,Masculino,80+,I60-I62 hemorragicas,162
obitos,Norte,Masculino,0-49,I65-I69 outras/sequelas,83
obitos,Norte,Feminino,0-49,I65-I69 outras/sequelas,62
obitos,Norte,Masculino,0-49,I64 AVC nao especificado,60
obitos,Norte,Feminino,0-49,I64 AVC nao especificado,47
obitos,Norte,Feminino,,I65-I69 outras/sequelas,15
obitos,Norte,Feminino,,I64 AVC nao especificado,10
obitos,Norte,Masculino,65-79,I63 isquemico,9
obitos,Norte,Feminino,65-79,I63 isquemico,8
obitos,Norte,Feminino,80+,I63 isquemico,6
obitos,Norte,Masculino,50-64,I63 isquemico,5
obitos,Norte,Masculino,80+,I63 isquemico,5
obitos,Norte,Masculino,,I64 AVC nao especificado,5
obitos,Norte,Feminino,0-49,I63 isquemico,4
obitos,Norte,Masculino,,I65-I69 outras/sequelas,4
obitos,Norte,Feminino,,I60-I62 hemorragicas,3
obitos,Norte,Feminino,50-64,I63 isquemico,2
obitos,Norte,Masculino,0-49,I63 isquemico,2
obitos,Serrana,Feminino,80+,I65-I69 outras/sequelas,939
obitos,Serrana,Masculino,65-79,I65-I69 outras/sequelas,894
obitos,Serrana,Masculino,65-79,I64 AVC nao especificado,875
obitos,Serrana,Feminino,80+,I64 AVC nao especificado,815
obitos,Serrana,Feminino,65-79,I65-I69 outras/sequelas,639
obitos,Serrana,Feminino,65-79,I64 AVC nao especificado,637
obitos,Serrana,Masculino,80+,I65-I69 outras/sequelas,597
obitos,Serrana,Masculino,80+,I64 AVC nao especificado,561
obitos,Serrana,Masculino,50-64,I65-I69 outras/sequelas,398
obitos,Serrana,Masculino,50-64,I64 AVC nao especificado,395
obitos,Serrana,Masculino,50-64,I60-I62 hemorragicas,326
obitos,Serrana,Masculino,65-79,I60-I62 hemorragicas,322
obitos,Serrana,Feminino,65-79,I60-I62 hemorragicas,299
obitos,Serrana,Feminino,80+,I60-I62 hemorragicas,266
obitos,Serrana,Feminino,50-64,I60-I62 hemorragicas,265
obitos,Serrana,Feminino,50-64,I64 AVC nao especificado,239
obitos,Serrana,Feminino,50-64,I65-I69 outras/sequelas,218
obitos,Serrana,Masculino,80+,I60-I62 hemorragicas,196
obitos,Serrana,Masculino,0-49,I60-I62 hemorragicas,163
obitos,Serrana,Feminino,0-49,I60-I62 hemorragicas,157
obitos,Serrana,Masculino,0-49,I64 AVC nao especificado,76
obitos,Serrana,Masculino,0-49,I65-I69 outras/sequelas,71
obitos,Serrana,Feminino,0-49,I65-I69 outras/sequelas,70
obitos,Serrana,Feminino,0-49,I64 AVC nao especificado,54
obitos,Serrana,Feminino,,I65-I69 outras/sequelas,12
obitos,Serrana,Feminino,65-79,I63 isquemico,11
obitos,Serrana,Feminino,,I64 AVC nao especificado,10
obitos,Serrana,Masculino,65-79,I63 isquemico,8
obitos,Serrana,Feminino,80+,I63 isquemico,6
obitos,Serrana,Masculino,50-64,I63 isquemico,6
obitos,Serrana,Feminino,,I60-I62 hemorragicas,4
obitos,Serrana,Masculino,80+,I63 isquemico,4
obitos,Serrana,Feminino,0-49,I63 isquemico,3
obitos,Serrana,Masculino,,I60-I62 hemorragicas,3
obitos,Serrana,Masculino,,I64 AVC nao especificado,3
obitos,Serrana,Masculino,,I65-I69 outras/sequelas,3
obitos,Serrana,Masculino,0-49,I63 isquemico,2
obitos,Serrana,Feminino,50-64,I63 isquemico,1
obitos,Serrana,Ignorado/ausente,50-64,I65-I69 outras/sequelas,1
obitos,,Masculino,,I64 AVC nao especificado,32
obitos,,Masculino,,I60-I62 hemorragicas,30
obitos,,Masculino,,I65-I69 outras/sequelas,25
obitos,,Masculino,50-64,I60-I62 hemorragicas,19
obitos,,Masculino,65-79,I65-I69 outras/sequelas,19
obitos,,Masculino,50-64,I64 AVC nao especificado,18
obitos,,Masculino,50-64,I65-I69 outras/sequelas,18
obitos,,Masculino,0-49,I60-I62 hemorragicas,17
obitos,,Feminino,,I65-I69 outras/sequelas,14
obitos,,Feminino,,I64 AVC nao especificado,13
obitos,,Masculino,65-79,I64 AVC nao especificado,11
obitos,,Feminino,65-79,I65-I69 outras/sequelas,8
obitos,,Feminino,,I60-I62 hemorragicas,8
obitos,,Feminino,65-79,I64 AVC nao especificado,7
obitos,,Masculino,80+,I65-I69 outras/sequelas,7
obitos,,Masculino,0-49,I64 AVC nao especificado,6
obitos,,Masculino,65-79,I60-I62 hemorragicas,6
obitos,,Feminino,80+,I65-I69 outras/sequelas,5
obitos,,Masculino,80+,I64 AVC nao especificado,5
obitos,,Feminino,50-64,I64 AVC nao especificado,4
obitos,,Feminino,65-79,I60-I62 hemorragicas,4
obitos,,Feminino,0-49,I64 AVC nao especificado,2
obitos,,Feminino,0-49,I65-I69 outras/sequelas,2
obitos,,Feminino,50-64,I65-I69 outras/sequelas,2
obitos,,Ignorado/ausente,,I60-I62 hemorragicas,2
obitos,,Masculino,0-49,I65-I69 outras/sequelas,2
obitos,,Masculino,50-64,I63 isquemico,2
obitos,,Feminino,0-49,I60-I62 hemorragicas,1
obitos,,Feminino,80+,I60-I62 hemorragicas,1
obitos,,Ignorado/ausente,,I64 AVC nao especificado,1
obitos,,Ignorado/ausente,,I65-I69 outras/sequelas,1
