Macroregiao;Ano;PM25;N_Municipios;Fonte
Centro-Sul;2021;20.4748;12;Monitorado, Vizinho mais proximo (Paty do Alferes, 0.047 deg)
Centro-Sul;2022;20.8329;12;Monitorado, Vizinho mais proximo (Paty do Alferes, 0.047 deg)
Centro-Sul;2023;18.7105;12;Monitorado, Vizinho mais proximo (Paty do Alferes, 0.047 deg)
Centro-Sul;2024;24.9095;12;Monitorado, Vizinho mais proximo (Paty do Alferes, 0.047 deg)
Centro-Sul;2025;23.4636;12;Monitorado, Vizinho mais proximo (Paty do Alferes, 0.047 deg)
Metropolitana I;2010;27.1657;12;Monitorado, Vizinho mais proximo (Belford Roxo, 0.035 deg), Vizinho mais proximo (Belford Roxo, 0.050 deg), Vizinho mais proximo (Japeri, 0.111 deg), Vizinho mais proximo (Niterói, 0.073 deg), Vizinho mais proximo (São João de Meriti, 0.041 deg), Vizinho mais proximo (São João de Meriti, 0.071 deg)
Metropolitana I;2011;21.1508;12;Monitorado, Vizinho mais proximo (Belford Roxo, 0.035 deg), Vizinho mais proximo (Belford Roxo, 0.050 deg), Vizinho mais proximo (Japeri, 0.111 deg), Vizinho mais proximo (Niterói, 0.073 deg), Vizinho mais proximo (São João de Meriti, 0.041 deg), Vizinho mais proximo (São João de Meriti, 0.071 deg)
Metropolitana I;2012;21.9077;12;Monitorado, Vizinho mais proximo (Belford Roxo, 0.035 deg), Vizinho mais proximo (Belford Roxo, 0.050 deg), Vizinho mais proximo (Japeri, 0.111 deg), Vizinho mais proximo (Niterói, 0.073 deg), Vizinho mais proximo (São João de Meriti, 0.041 deg), Vizinho mais proximo (São João de Meriti, 0.071 deg)
Metropolitana I;2013;19.4445;12;Monitorado, Vizinho mais proximo (Belford Roxo, 0.035 deg), Vizinho mais proximo (Belford Roxo, 0.050 deg), Vizinho mais proximo (Japeri, 0.111 deg), Vizinho mais proximo (Niterói, 0.073 deg), Vizinho mais proximo (São João de Meriti, 0.041 deg), Vizinho mais proximo (São João de Meriti, 0.071 deg)
Metropolitana I;2014;21.9552;12;Monitorado, Vizinho mais proximo (Belford Roxo, 0.035 deg), Vizinho mais proximo (Belford Roxo, 0.050 deg), Vizinho mais proximo (Japeri, 0.111 deg), Vizinho mais proximo (Niterói, 0.073 deg), Vizinho mais proximo (São João de Meriti, 0.041 deg), Vizinho mais proximo (São João de Meriti, 0.071 deg)
