Municipio;Macroregiao;Ano;Mes;PM25;Fonte;Metodo
Paraty;Baía da Ilha Grande;2014;5;10.0107;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2014;6;11.2211;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2014;7;12.1567;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2014;8;22.7161;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2014;9;37.7252;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2014;10;18.7495;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2014;11;11.8836;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2014;12;10.8353;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2015;1;10.0606;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2015;2;10.7103;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2015;3;11.1032;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2015;4;10.9762;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2015;5;10.7889;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2015;6;12.0933;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2015;7;13.1017;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2015;8;24.4819;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2015;9;40.6578;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2015;10;20.207;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2015;11;12.8073;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2015;12;11.6776;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2016;1;9.8321;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2016;2;10.4669;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2016;3;10.851;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2016;4;10.7268;Monitorado;Observado + sazonal (perfil nacional 2024)
