modelo_id,exposure_response_png,lag_response_png,rr_surface_png,rr_surface_html,heatmap_3d_png,heatmap_3d_html,diagnostico_residuos_png,tudo_ok
metropolitana_i_obitos_i60_i69_temp_med,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
serrana_internacoes_i60_i69_temp_med,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
norte_internacoes_i60_i69_temp_med,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
noroeste_internacoes_i60_i69_temp_med,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
norte_internacoes_i60_i69_ur_med,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
medio_paraiba_internacoes_i60_i69_ur_med,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
serrana_internacoes_i60_i69_ur_med,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
medio_paraiba_obitos_i60_i69_ur_med,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
norte_obitos_i60_i69_temp_med,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
medio_paraiba_obitos_i60_i69_temp_med,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
centro_sul_obitos_i60_i69_temp_med,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
metropolitana_ii_internacoes_i60_i69_ur_med,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
baixada_litoranea_obitos_i60_i69_temp_med,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
norte_obitos_i60_i69_ur_med,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
baia_da_ilha_grande_internacoes_i60_i69_temp_med,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
baixada_litoranea_obitos_i60_i69_ur_med,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
medio_paraiba_internacoes_i60_i69_temp_med,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
metropolitana_ii_obitos_i60_i69_ur_med,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
baixada_litoranea_internacoes_i60_i69_temp_med,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
