ano,macro_regiao,populacao,fonte_populacao,observacao_populacao
2016,Metropolitana II,2034548,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2016,Noroeste,337428,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2016,Norte,901210,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2016,Serrana,939542,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2017,Baia da Ilha Grande,278488,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2017,Baixada Litoranea,799469,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2017,Centro-Sul,330344,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2017,Medio Paraiba,886065,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2017,Metropolitana I,10186591,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2017,Metropolitana II,2046751,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2017,Noroeste,338255,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2017,Norte,910045,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2017,Serrana,942948,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2018,Baia da Ilha Grande,286726,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2018,Baixada Litoranea,823899,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2018,Centro-Sul,338913,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2018,Medio Paraiba,909136,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2018,Metropolitana I,10450114,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2018,Metropolitana II,2101414,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2018,Noroeste,346923,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2018,Norte,935369,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2018,Serrana,967466,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2019,Baia da Ilha Grande,291418,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2019,Baixada Litoranea,839958,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2019,Centro-Sul,340526,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2019,Medio Paraiba,913698,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2019,Metropolitana I,10497016,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
