macro_regiao,estacao_excluida,n_dias,rmse_temp,rmse_ur,bias_temp,bias_ur,flag_imputacao_imprecisa
Baia da Ilha Grande,A619,3051,0.9751784218893763,5.205551502517435,0.29668604981951596,1.7206163616612746,FALSE
Baia da Ilha Grande,A628,3051,0.9751784218893763,5.205551502517435,-0.29668604981951596,-1.7206163616612746,FALSE
Baixada Litoranea,A606,3774,2.006644320442603,11.542302459245638,-0.023454970097075336,-4.44008120001137,FALSE
Baixada Litoranea,A667,3774,2.006644320442603,11.542302459245638,0.023454970097075336,4.44008120001137,FALSE
Centro-Sul,A625,1148,2.2934365312161176,5.582715958332504,-2.0485338198051672,0.6998088559455523,FALSE
Centro-Sul,A637,1148,2.2934365312161176,5.582715958332504,2.0485338198051672,-0.6998088559455523,FALSE
Medio Paraiba,A609,5844,1.1044335882442344,8.046152277334793,-0.12878666490360627,4.210122684664869,FALSE
Medio Paraiba,A611,5844,1.0786596291190458,5.521186832988392,-0.42375407043586233,-1.072373669117456,FALSE
Medio Paraiba,A626,3499,1.1043817400335008,6.900451858994708,0.8245917167034559,-5.132734564959796,FALSE
Metropolitana I,A601,5844,0.8554040374530526,6.006532623508203,-0.41220070720335844,0.8865430151043854,FALSE
Metropolitana I,A602,5844,0.8698644010299181,8.038002733458347,0.19362504220127483,-1.501971609260185,FALSE
Metropolitana I,A603,5844,1.295493162012952,8.098465015230937,0.7704556333774653,-3.449476174973563,FALSE
Metropolitana I,A621,5844,1.2216697114592496,8.259098125876314,-0.7335638687990208,5.51446931357793,FALSE
Metropolitana I,A652,5844,1.37203918221501,6.942768048573317,-0.047173963280233544,-1.1750068495562735,FALSE
Metropolitana I,A636,3066,0.9439019490040497,5.059599201457065,0.45316251051885564,-1.2257552087956038,FALSE
Metropolitana II,A659,2729,1.8945401869489176,8.021089704902659,1.5899940738896583,-4.944787304636289,FALSE
Metropolitana II,A627,2729,1.8945401869489176,8.021089704902659,-1.5899940738896583,4.944787304636289,FALSE
Norte,A607,5844,0.9187325103150464,5.642319500360381,-0.020588472425904027,0.7671961379950148,FALSE
Norte,A608,5844,1.1278675097113517,6.396400498018286,0.5200174760487669,-2.3738234965826335,FALSE
Norte,A620,5844,1.1325725378387805,7.222425794529191,-0.49125947676004594,1.6121903822957944,FALSE
Serrana,A610,5844,4.62249012110336,12.426245890385125,4.253296544180829,-2.134911153392901,TRUE
Serrana,A618,5844,2.28189581192161,8.301797839535592,-1.0530006233395253,-1.2500221707744013,FALSE
Serrana,A624,5585,1.9798971384560105,9.205028644217453,0.6520785764297368,1.134347843671207,FALSE
Serrana,A629,2639,5.649209585413245,9.14399600977898,-5.348945556917571,6.231483896288009,TRUE
Serrana,A630,2634,2.513704930178062,7.183678938665382,-2.053730811437063,-1.911613121572386,FALSE
