macro_regiao,desfecho,exposicao,lag,estatistica,pvalor
Baia da Ilha Grande,obitos_i60_i62,ur_med,14,43.58465464362557,6.904422118969578e-5
Baia da Ilha Grande,obitos_i60_i62,ur_med,21,54.280511806983974,8.993359414555258e-5
Baia da Ilha Grande,obitos_i60_i62,ur_med,30,65.4577630402064,1.9161861081939957e-4
Baia da Ilha Grande,internacoes_i63,temp_med,1,6.777815418811018,0.009229778576215986
Baia da Ilha Grande,internacoes_i63,temp_med,7,23.85101176364406,0.0012101175777460282
Baia da Ilha Grande,internacoes_i63,temp_med,14,36.70714289967912,8.169064758278832e-4
Baia da Ilha Grande,internacoes_i63,temp_med,21,58.69188009524611,2.0106539869613194e-5
Baia da Ilha Grande,internacoes_i63,temp_med,30,66.4963733170471,1.4069597647603516e-4
Baia da Ilha Grande,internacoes_i63,ur_med,1,6.066704516986553,0.01377537447297461
Baia da Ilha Grande,internacoes_i63,ur_med,7,23.92399313814811,0.0011749318046198054
Baia da Ilha Grande,internacoes_i63,ur_med,14,36.58655639677762,8.518400000464554e-4
Baia da Ilha Grande,internacoes_i63,ur_med,21,58.69460309896846,2.0087642205512957e-5
Baia da Ilha Grande,internacoes_i63,ur_med,30,67.04280880576702,1.1944452952616924e-4
Baia da Ilha Grande,obitos_i63,temp_med,1,47.10304381282263,6.73505695658605e-12
Baia da Ilha Grande,obitos_i63,temp_med,7,481.44080532040283,0
Baia da Ilha Grande,obitos_i63,temp_med,14,684.5323253742381,0
Baia da Ilha Grande,obitos_i63,temp_med,21,689.4125750681168,0
Baia da Ilha Grande,obitos_i63,temp_med,30,691.4529920676343,0
Baia da Ilha Grande,obitos_i63,ur_med,1,6.251624953274344,0.012407942950918405
Baia da Ilha Grande,obitos_i63,ur_med,7,6.2661931578803785,0.5090339693147088
Baia da Ilha Grande,obitos_i63,ur_med,14,6.267980499416716,0.9592782308425087
Baia da Ilha Grande,obitos_i63,ur_med,21,6.269803025816992,0.9991922931818221
Baia da Ilha Grande,obitos_i63,ur_med,30,6.272155983408794,0.9999988501630077
Baixada Litoranea,internacoes_i60_i69,temp_med,1,2.1365518712406133,0.1438248456998209
Baixada Litoranea,internacoes_i60_i69,temp_med,7,13.355713247536992,0.06390141772392377
Baixada Litoranea,internacoes_i60_i69,temp_med,14,33.6020475498791,0.0023571115023465206
Baixada Litoranea,internacoes_i60_i69,temp_med,21,57.388771271040824,3.14657696282028e-5
Baixada Litoranea,internacoes_i60_i69,temp_med,30,84.93586786560918,3.765137867040025e-7
