macro_regiao,lon_macro,lat_macro,fonte_centroide_macro
Baia da Ilha Grande,-44.3386,-23.053166666666666,media_centroides_municipais_geobr_ou_ibge
Baixada Litoranea,-42.20031111111111,-22.76701111111111,media_centroides_municipais_geobr_ou_ibge
Centro-Sul,-43.38704545454546,-22.30529090909091,media_centroides_municipais_geobr_ou_ibge
Medio Paraiba,-44.083533333333335,-22.466316666666668,media_centroides_municipais_geobr_ou_ibge
Metropolitana I,-43.439075,-22.754083333333334,media_centroides_municipais_geobr_ou_ibge
Metropolitana II,-42.79752857142857,-22.77842857142857,media_centroides_municipais_geobr_ou_ibge
Noroeste,-41.942635714285714,-21.374614285714287,media_centroides_municipais_geobr_ou_ibge
Norte,-41.5167375,-21.90035,media_centroides_municipais_geobr_ou_ibge
Serrana,-42.552525,-22.1919,media_centroides_municipais_geobr_ou_ibge
